"TimeWindow","Topic","Discipline","Weight"
"1996_2000","0","Veterinary Sciences",2
"1996_2000","0","Virology",4
"1996_2000","0","Water Resources",10
"1996_2000","0","Zoology",40
"2001_2005","0","Agriculture",59
"2001_2005","0","Agronomy",34
"2001_2005","0","Anatomy & Morphology",3
"2001_2005","0","Anthropology",8
"2001_2005","0","Archaeology",1
"2001_2005","0","Astronomy & Astrophysics",2
"2001_2005","0","Automation & Control Systems",3
"2001_2005","0","Behavioral Sciences",9
"2001_2005","0","Biochemical Research Methods",2
"2001_2005","0","Biochemistry & Molecular Biology",31
"2001_2005","0","Biodiversity Conservation",130
"2001_2005","0","Biology",51
"2001_2005","0","Biophysics",2
"2001_2005","0","Biotechnology & Applied Microbiology",21
"2001_2005","0","Business",2
"2001_2005","0","Cell Biology",6
"2001_2005","0","Cell & Tissue Engineering",1
"2001_2005","0","Chemistry",12
"2001_2005","0","Computer Science",21
"2001_2005","0","Demography",1
"2001_2005","0","Developmental Biology",3
"2001_2005","0","Ecology",490
"2001_2005","0","Economics",2
"2001_2005","0","Engineering",25
"2001_2005","0","Entomology",32
"2001_2005","0","Environmental Studies",14
"2001_2005","0","Evolutionary Biology",92
"2001_2005","0","Fisheries",31
"2001_2005","0","Food Science & Technology",2
"2001_2005","0","Forestry",72
"2001_2005","0","Gastroenterology & Hepatology",1
"2001_2005","0","Genetics & Heredity",83
"2001_2005","0","Geochemistry & Geophysics",2
"2001_2005","0","Geography",58
"2001_2005","0","Geology",37
"2001_2005","0","Geosciences, Multidisciplinary",27
"2001_2005","0","Hematology",2
"2001_2005","0","Horticulture",16
"2001_2005","0","Imaging Science & Photographic Technology",7
"2001_2005","0","Immunology",7
"2001_2005","0","Infectious Diseases",2
"2001_2005","0","Integrative & Complementary Medicine",1
"2001_2005","0","Life Sciences & Biomedicine - Other Topics",51
"2001_2005","0","Limnology",17
"2001_2005","0","Marine & Freshwater Biology",124
"2001_2005","0","Mathematical & Computational Biology",6
"2001_2005","0","Mathematics",10
"2001_2005","0","Medicine, Research & Experimental",3
"2001_2005","0","Meteorology & Atmospheric Sciences",11
"2001_2005","0","Microbiology",14
"2001_2005","0","Microscopy",1
"2001_2005","0","Mining & Mineral Processing",2
"2001_2005","0","Multidisciplinary Sciences",33
"2001_2005","0","Mycology",7
"2001_2005","0","Nanoscience & Nanotechnology",1
"2001_2005","0","Neurosciences",3
"2001_2005","0","Nutrition & Dietetics",1
"2001_2005","0","Oceanography",47
"2001_2005","0","Operations Research & Management Science",4
"2001_2005","0","Ornithology",13
"2001_2005","0","Paleontology",11
"2001_2005","0","Parasitology",5
"2001_2005","0","Pathology",1
"2001_2005","0","Pharmacology & Pharmacy",8
"2001_2005","0","Physical Geography",53
"2001_2005","0","Physics",2
"2001_2005","0","Physiology",6
"2001_2005","0","Plant Sciences",137
"2001_2005","0","Psychology",1
"2001_2005","0","Public, Environmental & Occupational Health",10
"2001_2005","0","Remote Sensing",11
"2001_2005","0","Reproductive Biology",2
"2001_2005","0","Research & Experimental Medicine",3
"2001_2005","0","Robotics",1
"2001_2005","0","Science & Technology - Other Topics",34
"2001_2005","0","Soil Science",19
"2001_2005","0","Spectroscopy",1
"2001_2005","0","Statistics & Probability",5
"2001_2005","0","Surgery",1
"2001_2005","0","Telecommunications",1
"2001_2005","0","Toxicology",15
"2001_2005","0","Transplantation",1
"2001_2005","0","Tropical Medicine",3
"2001_2005","0","Urban Studies",1
"2001_2005","0","Veterinary Sciences",1
"2001_2005","0","Water Resources",33
"2001_2005","0","Zoology",62
"2006_2012","0","Agriculture",2
"2006_2012","0","Agronomy",2
"2006_2012","0","Biochemistry & Molecular Biology",3
"2006_2012","0","Biodiversity Conservation",3
"2006_2012","0","Biotechnology & Applied Microbiology",1
"2006_2012","0","Ecology",7
"2006_2012","0","Evolutionary Biology",3
"2006_2012","0","Fisheries",1
"2006_2012","0","Forestry",1
"2006_2012","0","Genetics & Heredity",3
"2006_2012","0","Geography",3
"2006_2012","0","Geology",3
"2006_2012","0","Geosciences, Multidisciplinary",3
"2006_2012","0","Marine & Freshwater Biology",2
"2006_2012","0","Mycology",1
"2006_2012","0","Ornithology",1
"2006_2012","0","Physical Geography",3
"2006_2012","0","Plant Sciences",2
"2006_2012","0","Public, Environmental & Occupational Health",1
"2006_2012","0","Toxicology",1
"2006_2012","0","Zoology",1
"1990_1995","1","Biochemistry & Molecular Biology",1
"1990_1995","1","Cell Biology",1
"1996_2000","1","Biodiversity Conservation",1
"1996_2000","1","Biotechnology & Applied Microbiology",1
"1996_2000","1","Ecology",1
"1996_2000","1","Marine & Freshwater Biology",1
"1990_1995","2","Agriculture",10
"1990_1995","2","Agronomy",9
"1990_1995","2","Anthropology",1
"1990_1995","2","Behavioral Sciences",1
"1990_1995","2","Biochemistry & Molecular Biology",14
"1990_1995","2","Biodiversity Conservation",1
"1990_1995","2","Biology",4
"1990_1995","2","Biophysics",2
"1990_1995","2","Biotechnology & Applied Microbiology",8
"1990_1995","2","Cell Biology",5
"1990_1995","2","Developmental Biology",1
"1990_1995","2","Ecology",5
"1990_1995","2","Entomology",1
"1990_1995","2","Evolutionary Biology",6
"1990_1995","2","Fisheries",4
"1990_1995","2","Genetics & Heredity",16
"1990_1995","2","Horticulture",8
"1990_1995","2","Immunology",10
"1990_1995","2","Infectious Diseases",3
"1990_1995","2","Life Sciences & Biomedicine - Other Topics",4
"1990_1995","2","Marine & Freshwater Biology",2
"1990_1995","2","Medicine, Research & Experimental",2
"1990_1995","2","Microbiology",13
"1990_1995","2","Multidisciplinary Sciences",4
"1990_1995","2","Neurosciences",2
"1990_1995","2","Obstetrics & Gynecology",1
"1990_1995","2","Oncology",2
"1990_1995","2","Pharmacology & Pharmacy",1
"1990_1995","2","Physiology",2
"1990_1995","2","Plant Sciences",12
"1990_1995","2","Reproductive Biology",1
"1990_1995","2","Research & Experimental Medicine",2
"1990_1995","2","Science & Technology - Other Topics",4
"1990_1995","2","Veterinary Sciences",1
"1990_1995","2","Virology",11
"1990_1995","2","Zoology",1
"1996_2000","2","Agriculture",16
"1996_2000","2","Agronomy",14
"1996_2000","2","Anatomy & Morphology",1
"1996_2000","2","Anthropology",2
"1996_2000","2","Biochemical Research Methods",1
"1996_2000","2","Biochemistry & Molecular Biology",28
"1996_2000","2","Biology",6
"1996_2000","2","Biophysics",3
"1996_2000","2","Biotechnology & Applied Microbiology",11
"1996_2000","2","Cardiology",1
"1996_2000","2","Cell Biology",11
"1996_2000","2","Chemistry",1
"1996_2000","2","Computer Science",1
"1996_2000","2","Developmental Biology",1
"1996_2000","2","Ecology",7
"1996_2000","2","Environmental Studies",1
"1996_2000","2","Evolutionary Biology",7
"1996_2000","2","Fisheries",1
"1996_2000","2","Forestry",1
"1996_2000","2","Gastroenterology & Hepatology",3
"1996_2000","2","General & Internal Medicine",1
"1996_2000","2","Genetics & Heredity",26
"1996_2000","2","Hematology",1
"1996_2000","2","Horticulture",7
"1996_2000","2","Immunology",19
"1996_2000","2","Infectious Diseases",9
"1996_2000","2","Life Sciences & Biomedicine - Other Topics",6
"1996_2000","2","Mathematical & Computational Biology",1
"1996_2000","2","Medical Subscience",1
"1996_2000","2","Medicine, General & Internal",1
"1996_2000","2","Medicine, Research & Experimental",2
"1996_2000","2","Microbiology",22
"1996_2000","2","Multidisciplinary Sciences",7
"1996_2000","2","Mycology",1
"1996_2000","2","Neurosciences",2
"1996_2000","2","Parasitology",1
"1996_2000","2","Pathology",6
"1996_2000","2","Peripheral Vascular Disease",1
"1996_2000","2","Physiology",1
"1996_2000","2","Planning & Development",1
"1996_2000","2","Plant Sciences",23
"1996_2000","2","Public Administration",1
"1996_2000","2","Public, Environmental & Occupational Health",3
"1996_2000","2","Research & Experimental Medicine",2
"1996_2000","2","Science & Technology - Other Topics",7
"1996_2000","2","Sociology",1
"1996_2000","2","Surgery",1
"1996_2000","2","Tropical Medicine",2
"1996_2000","2","Virology",17
"2001_2005","2","Agriculture",18
"2001_2005","2","Agronomy",13
"2001_2005","2","Anthropology",5
"2001_2005","2","Automation & Control Systems",1
"2001_2005","2","Biochemical Research Methods",6
"2001_2005","2","Biochemistry & Molecular Biology",36
"2001_2005","2","Biodiversity Conservation",1
"2001_2005","2","Biology",8
"2001_2005","2","Biophysics",1
"2001_2005","2","Biotechnology & Applied Microbiology",20
"2001_2005","2","Cell Biology",7
"2001_2005","2","Chemistry",3
"2001_2005","2","Computer Science",7
"2001_2005","2","Developmental Biology",3
"2001_2005","2","Ecology",19
"2001_2005","2","Endocrinology & Metabolism",3
"2001_2005","2","Entomology",4
"2001_2005","2","Environmental Studies",2
"2001_2005","2","Evolutionary Biology",20
"2001_2005","2","Genetics & Heredity",39
"2001_2005","2","Geography",4
"2001_2005","2","Geology",1
"2001_2005","2","Geosciences, Multidisciplinary",1
"2001_2005","2","Horticulture",7
"2001_2005","2","Immunology",12
"2001_2005","2","Infectious Diseases",9
"2001_2005","2","Life Sciences & Biomedicine - Other Topics",8
"2001_2005","2","Marine & Freshwater Biology",3
"2001_2005","2","Materials Science",1
"2001_2005","2","Mathematical & Computational Biology",1
"2001_2005","2","Mathematics",1
"2001_2005","2","Medical Subscience",1
"2001_2005","2","Medicine, Research & Experimental",1
"2001_2005","2","Meteorology & Atmospheric Sciences",1
"2001_2005","2","Microbiology",23
"2001_2005","2","Multidisciplinary Sciences",10
"2001_2005","2","Neurosciences",3
"2001_2005","2","Oceanography",1
"2001_2005","2","Paleontology",2
"2001_2005","2","Parasitology",1
"2001_2005","2","Pathology",1
"2001_2005","2","Pharmacology & Pharmacy",6
"2001_2005","2","Physical Geography",3
"2001_2005","2","Planning & Development",1
"2001_2005","2","Plant Sciences",21
"2001_2005","2","Public Administration",1
"2001_2005","2","Public, Environmental & Occupational Health",5
"2001_2005","2","Reproductive Biology",1
"2001_2005","2","Research & Experimental Medicine",1
"2001_2005","2","Respiratory System",1
"2001_2005","2","Science & Technology - Other Topics",10
"2001_2005","2","Sociology",1
"2001_2005","2","Soil Science",1
"2001_2005","2","Statistics & Probability",1
"2001_2005","2","Toxicology",1
"2001_2005","2","Tropical Medicine",1
"2001_2005","2","Virology",10
"2001_2005","2","Zoology",4
"2006_2012","2","Agriculture",140
"2006_2012","2","Agronomy",107
"2006_2012","2","Anatomy & Morphology",4
"2006_2012","2","Anthropology",38
"2006_2012","2","Automation & Control Systems",15
"2006_2012","2","Behavioral Sciences",4
"2006_2012","2","Biochemical Research Methods",24
"2006_2012","2","Biochemistry & Molecular Biology",278
"2006_2012","2","Biodiversity Conservation",27
"2006_2012","2","Biology",60
"2006_2012","2","Biophysics",13
"2006_2012","2","Biotechnology & Applied Microbiology",168
"2006_2012","2","Business",1
"2006_2012","2","Cell Biology",51
"2006_2012","2","Cell & Tissue Engineering",1
"2006_2012","2","Chemistry",43
"2006_2012","2","Communication",1
"2006_2012","2","Computer Science",87
"2006_2012","2","Crystallography",3
"2006_2012","2","Developmental Biology",18
"2006_2012","2","Ecology",160
"2006_2012","2","Endocrinology & Metabolism",1
"2006_2012","2","Energy & Fuels",1
"2006_2012","2","Engineering",21
"2006_2012","2","Entomology",18
"2006_2012","2","Environmental Studies",3
"2006_2012","2","Evolutionary Biology",163
"2006_2012","2","Fisheries",20
"2006_2012","2","Food Science & Technology",10
"2006_2012","2","Forestry",11
"2006_2012","2","Gastroenterology & Hepatology",8
"2006_2012","2","General & Internal Medicine",1
"2006_2012","2","Genetics & Heredity",364
"2006_2012","2","Geography",7
"2006_2012","2","Geology",11
"2006_2012","2","Geosciences, Multidisciplinary",9
"2006_2012","2","Health Care Sciences & Services",1
"2006_2012","2","Hematology",5
"2006_2012","2","History",2
"2006_2012","2","Horticulture",45
"2006_2012","2","Imaging Science & Photographic Technology",4
"2006_2012","2","Immunology",92
"2006_2012","2","Infectious Diseases",70
"2006_2012","2","Life Sciences & Biomedicine - Other Topics",60
"2006_2012","2","Limnology",4
"2006_2012","2","Management",1
"2006_2012","2","Marine & Freshwater Biology",38
"2006_2012","2","Materials Science",4
"2006_2012","2","Mathematical & Computational Biology",18
"2006_2012","2","Mathematics",13
"2006_2012","2","Medical Subscience",2
"2006_2012","2","Medicine, General & Internal",1
"2006_2012","2","Medicine, Research & Experimental",11
"2006_2012","2","Meteorology & Atmospheric Sciences",1
"2006_2012","2","Microbiology",169
"2006_2012","2","Microscopy",1
"2006_2012","2","Multidisciplinary Sciences",45
"2006_2012","2","Mycology",8
"2006_2012","2","Nanoscience & Nanotechnology",3
"2006_2012","2","Neurosciences",9
"2006_2012","2","Obstetrics & Gynecology",1
"2006_2012","2","Oceanography",5
"2006_2012","2","Oncology",15
"2006_2012","2","Operations Research & Management Science",5
"2006_2012","2","Optics",1
"2006_2012","2","Ornithology",2
"2006_2012","2","Paleontology",5
"2006_2012","2","Parasitology",24
"2006_2012","2","Pathology",13
"2006_2012","2","Pharmacology & Pharmacy",19
"2006_2012","2","Physical Geography",7
"2006_2012","2","Physics",3
"2006_2012","2","Physiology",6
"2006_2012","2","Plant Sciences",235
"2006_2012","2","Polymer Science",1
"2006_2012","2","Psychiatry",1
"2006_2012","2","Psychology",3
"2006_2012","2","Public, Environmental & Occupational Health",19
"2006_2012","2","Remote Sensing",4
"2006_2012","2","Reproductive Biology",5
"2006_2012","2","Research & Experimental Medicine",11
"2006_2012","2","Robotics",8
"2006_2012","2","Science & Technology - Other Topics",48
"2006_2012","2","Social Sciences",2
"2006_2012","2","Sociology",2
"2006_2012","2","Soil Science",4
"2006_2012","2","Spectroscopy",1
"2006_2012","2","Statistics & Probability",4
"2006_2012","2","Surgery",2
"2006_2012","2","Telecommunications",3
"2006_2012","2","Toxicology",7
"2006_2012","2","Tropical Medicine",12
"2006_2012","2","Veterinary Sciences",12
"2006_2012","2","Virology",112
"2006_2012","2","Water Resources",4
"2006_2012","2","Zoology",39
"1990_1995","3","Agriculture",4
"1990_1995","3","Agronomy",4
"1990_1995","3","Archaeology",1
"1990_1995","3","Biochemical Research Methods",1
"1990_1995","3","Biochemistry & Molecular Biology",5
"1990_1995","3","Biodiversity Conservation",1
"1990_1995","3","Biology",1
"1990_1995","3","Biotechnology & Applied Microbiology",4
"1990_1995","3","Cell Biology",1
"1990_1995","3","Chemistry",1
"1990_1995","3","Computer Science",1
"1990_1995","3","Ecology",5
"1990_1995","3","Engineering",1
"1990_1995","3","Evolutionary Biology",5
"1990_1995","3","Forestry",1
"1990_1995","3","Genetics & Heredity",8
"1990_1995","3","Horticulture",3
"1990_1995","3","Immunology",2
"1990_1995","3","Infectious Diseases",2
"1990_1995","3","Life Sciences & Biomedicine - Other Topics",1
"1990_1995","3","Medicine, Research & Experimental",1
"1990_1995","3","Microbiology",4
"1990_1995","3","Neurosciences",1
"1990_1995","3","Plant Sciences",6
"1990_1995","3","Research & Experimental Medicine",1
"1990_1995","3","Virology",3
"1990_1995","3","Zoology",3
"1996_2000","3","Agriculture",11
"1996_2000","3","Agronomy",10
"1996_2000","3","Anthropology",1
"1996_2000","3","Biochemistry & Molecular Biology",4
"1996_2000","3","Biodiversity Conservation",3
"1996_2000","3","Biology",4
"1996_2000","3","Biophysics",1
"1996_2000","3","Biotechnology & Applied Microbiology",10
"1996_2000","3","Cell Biology",1
"1996_2000","3","Ecology",10
"1996_2000","3","Evolutionary Biology",5
"1996_2000","3","Fisheries",1
"1996_2000","3","Forestry",2
"1996_2000","3","Genetics & Heredity",19
"1996_2000","3","Geography",2
"1996_2000","3","Geology",1
"1996_2000","3","Geosciences, Multidisciplinary",1
"1996_2000","3","Hematology",1
"1996_2000","3","Horticulture",6
"1996_2000","3","Immunology",4
"1996_2000","3","Infectious Diseases",2
"1996_2000","3","Life Sciences & Biomedicine - Other Topics",4
"1996_2000","3","Marine & Freshwater Biology",8
"1996_2000","3","Microbiology",12
"1996_2000","3","Multidisciplinary Sciences",1
"1996_2000","3","Mycology",1
"1996_2000","3","Neurosciences",1
"1996_2000","3","Oceanography",1
"1996_2000","3","Oncology",1
"1996_2000","3","Parasitology",1
"1996_2000","3","Pathology",2
"1996_2000","3","Physical Geography",2
"1996_2000","3","Physiology",1
"1996_2000","3","Plant Sciences",18
"1996_2000","3","Public, Environmental & Occupational Health",2
"1996_2000","3","Remote Sensing",1
"1996_2000","3","Science & Technology - Other Topics",1
"1996_2000","3","Tropical Medicine",2
"1996_2000","3","Virology",3
"1996_2000","3","Zoology",1
"2001_2005","3","Agriculture",1
"2001_2005","3","Biotechnology & Applied Microbiology",1
"2001_2005","3","Ecology",1
"2001_2005","3","Engineering",1
"2001_2005","3","Fisheries",1
"2001_2005","3","Food Science & Technology",1
"2001_2005","3","Geology",1
"2001_2005","3","Geosciences, Multidisciplinary",1
"2001_2005","3","Horticulture",1
"2001_2005","3","Marine & Freshwater Biology",1
"2001_2005","3","Microbiology",2
"2001_2005","3","Oceanography",1
"2001_2005","3","Parasitology",1
"2001_2005","3","Plant Sciences",1
"2006_2012","3","Agriculture",2
"2006_2012","3","Agronomy",2
"2006_2012","3","Biochemical Research Methods",1
"2006_2012","3","Biochemistry & Molecular Biology",1
"2006_2012","3","Biotechnology & Applied Microbiology",2
"2006_2012","3","Genetics & Heredity",1
"2006_2012","3","Immunology",1
"2006_2012","3","Infectious Diseases",1
"2006_2012","3","Mathematical & Computational Biology",1
"2006_2012","3","Microbiology",1
"2006_2012","3","Pediatrics",1
"2006_2012","3","Plant Sciences",5
"2006_2012","3","Virology",1
"1990_1995","4","Agriculture",2
"1990_1995","4","Agronomy",2
"1990_1995","4","Biochemistry & Molecular Biology",1
"1990_1995","4","Biology",1
"1990_1995","4","Ecology",3
"1990_1995","4","Entomology",1
"1990_1995","4","Evolutionary Biology",2
"1990_1995","4","Genetics & Heredity",2
"1990_1995","4","Geography",1
"1990_1995","4","Horticulture",1
"1990_1995","4","Life Sciences & Biomedicine - Other Topics",1
"1990_1995","4","Mathematics",1
"1990_1995","4","Parasitology",1
"1990_1995","4","Physical Geography",1
"1990_1995","4","Plant Sciences",2
"1990_1995","4","Soil Science",1
"1990_1995","4","Statistics & Probability",1
"1990_1995","4","Zoology",1
"1996_2000","4","Biochemical Research Methods",1
"1996_2000","4","Biochemistry & Molecular Biology",10
"1996_2000","4","Biophysics",1
"1996_2000","4","Biotechnology & Applied Microbiology",2
"1996_2000","4","Ecology",6
"1996_2000","4","Evolutionary Biology",3
"1996_2000","4","Fisheries",1
"1996_2000","4","Forestry",2
"1996_2000","4","Genetics & Heredity",4
"1996_2000","4","Immunology",2
"1996_2000","4","Marine & Freshwater Biology",2
"1996_2000","4","Microbiology",3
"1996_2000","4","Multidisciplinary Sciences",2
"1996_2000","4","Science & Technology - Other Topics",2
"1996_2000","4","Virology",1
"2001_2005","4","Agriculture",38
"2001_2005","4","Agronomy",26
"2001_2005","4","Anthropology",4
"2001_2005","4","Archaeology",1
"2001_2005","4","Biochemical Research Methods",5
"2001_2005","4","Biochemistry & Molecular Biology",56
"2001_2005","4","Biodiversity Conservation",16
"2001_2005","4","Biology",13
"2001_2005","4","Biophysics",3
"2001_2005","4","Biotechnology & Applied Microbiology",20
"2001_2005","4","Business",5
"2001_2005","4","Cell Biology",5
"2001_2005","4","Chemistry",4
"2001_2005","4","Computer Science",5
"2001_2005","4","Construction & Building Technology",1
"2001_2005","4","Developmental Biology",1
"2001_2005","4","Ecology",87
"2001_2005","4","Economics",5
"2001_2005","4","Endocrinology & Metabolism",1
"2001_2005","4","Engineering",3
"2001_2005","4","Entomology",7
"2001_2005","4","Environmental Studies",12
"2001_2005","4","Evolutionary Biology",36
"2001_2005","4","Fisheries",16
"2001_2005","4","Forestry",36
"2001_2005","4","General & Internal Medicine",1
"2001_2005","4","Genetics & Heredity",55
"2001_2005","4","Geography",10
"2001_2005","4","Geology",2
"2001_2005","4","Geosciences, Multidisciplinary",2
"2001_2005","4","Hematology",1
"2001_2005","4","Horticulture",15
"2001_2005","4","Imaging Science & Photographic Technology",1
"2001_2005","4","Immunology",9
"2001_2005","4","Infectious Diseases",4
"2001_2005","4","Life Sciences & Biomedicine - Other Topics",13
"2001_2005","4","Limnology",4
"2001_2005","4","Marine & Freshwater Biology",36
"2001_2005","4","Mathematical & Computational Biology",3
"2001_2005","4","Mathematics",2
"2001_2005","4","Medicine, General & Internal",1
"2001_2005","4","Medicine, Research & Experimental",1
"2001_2005","4","Meteorology & Atmospheric Sciences",3
"2001_2005","4","Microbiology",34
"2001_2005","4","Multidisciplinary Sciences",10
"2001_2005","4","Mycology",5
"2001_2005","4","Neurosciences",3
"2001_2005","4","Oceanography",5
"2001_2005","4","Oncology",1
"2001_2005","4","Ornithology",5
"2001_2005","4","Paleontology",2
"2001_2005","4","Parasitology",3
"2001_2005","4","Pathology",2
"2001_2005","4","Pharmacology & Pharmacy",3
"2001_2005","4","Physical Geography",5
"2001_2005","4","Physiology",3
"2001_2005","4","Planning & Development",1
"2001_2005","4","Plant Sciences",54
"2001_2005","4","Public Administration",1
"2001_2005","4","Public, Environmental & Occupational Health",2
"2001_2005","4","Remote Sensing",1
"2001_2005","4","Research & Experimental Medicine",1
"2001_2005","4","Science & Technology - Other Topics",10
"2001_2005","4","Sociology",2
"2001_2005","4","Soil Science",2
"2001_2005","4","Statistics & Probability",2
"2001_2005","4","Toxicology",2
"2001_2005","4","Tropical Medicine",1
"2001_2005","4","Urban Studies",2
"2001_2005","4","Veterinary Sciences",1
"2001_2005","4","Virology",6
"2001_2005","4","Water Resources",6
"2001_2005","4","Zoology",12
"2006_2012","4","Agriculture",43
"2006_2012","4","Agronomy",28
"2006_2012","4","Anthropology",6
"2006_2012","4","Archaeology",1
"2006_2012","4","Biochemical Research Methods",5
"2006_2012","4","Biochemistry & Molecular Biology",58
"2006_2012","4","Biodiversity Conservation",19
"2006_2012","4","Biology",12
"2006_2012","4","Biophysics",9
"2006_2012","4","Biotechnology & Applied Microbiology",32
"2006_2012","4","Business",6
"2006_2012","4","Cell Biology",12
"2006_2012","4","Chemistry",8
"2006_2012","4","Computer Science",3
"2006_2012","4","Developmental Biology",1
"2006_2012","4","Ecology",96
"2006_2012","4","Economics",6
"2006_2012","4","Engineering",7
"2006_2012","4","Entomology",10
"2006_2012","4","Environmental Studies",16
"2006_2012","4","Evolutionary Biology",23
"2006_2012","4","Fisheries",13
"2006_2012","4","Food Science & Technology",2
"2006_2012","4","Forestry",26
"2006_2012","4","Genetics & Heredity",41
"2006_2012","4","Geochemistry & Geophysics",1
"2006_2012","4","Geography",17
"2006_2012","4","Geology",16
"2006_2012","4","Geosciences, Multidisciplinary",15
"2006_2012","4","Health Care Sciences & Services",1
"2006_2012","4","Health Policy & Services",1
"2006_2012","4","Horticulture",12
"2006_2012","4","Imaging Science & Photographic Technology",1
"2006_2012","4","Immunology",10
"2006_2012","4","Infectious Diseases",6
"2006_2012","4","Life Sciences & Biomedicine - Other Topics",12
"2006_2012","4","Limnology",2
"2006_2012","4","Marine & Freshwater Biology",30
"2006_2012","4","Mathematical & Computational Biology",1
"2006_2012","4","Mathematics",1
"2006_2012","4","Medicine, Research & Experimental",1
"2006_2012","4","Meteorology & Atmospheric Sciences",1
"2006_2012","4","Microbiology",42
"2006_2012","4","Multidisciplinary Sciences",13
"2006_2012","4","Mycology",3
"2006_2012","4","Neurosciences",2
"2006_2012","4","Oceanography",5
"2006_2012","4","Oncology",1
"2006_2012","4","Ornithology",3
"2006_2012","4","Paleontology",2
