"TimeWindow","ResArea_Orig","group","Value"
"2001_2005","Biology","N",1127
"2001_2005","Biomedical Social Sciences","N",12
"2001_2005","Biophysics","N",192
"2001_2005","Biotechnology & Applied Microbiology","N",2106
"2001_2005","Business","N",136
"2001_2005","Cardiology","N",9
"2001_2005","Cell Biology","N",585
"2001_2005","Cell & Tissue Engineering","N",6
"2001_2005","Chemistry","N",586
"2001_2005","Clinical Neurology","N",10
"2001_2005","Communication","N",1
"2001_2005","Computer Science","N",475
"2001_2005","Construction & Building Technology","N",4
"2001_2005","Crystallography","N",17
"2001_2005","Cultural Studies","N",1
"2001_2005","Demography","N",5
"2001_2005","Dentistry, Oral Surgery & Medicine","N",15
"2001_2005","Dermatology","N",9
"2001_2005","Developmental Biology","N",136
"2001_2005","Ecology","N",9821
"2001_2005","Economics","N",130
"2001_2005","Education","N",7
"2001_2005","Electrochemistry","N",1
"2001_2005","Endocrinology & Metabolism","N",36
"2001_2005","Energy & Fuels","N",36
"2001_2005","Engineering","N",404
"2001_2005","Entomology","N",749
"2001_2005","Environmental Studies","N",513
"2001_2005","Ethics","N",30
"2001_2005","Ethnic Studies","N",1
"2001_2005","Evolutionary Biology","N",2875
"2001_2005","Family Studies","N",1
"2001_2005","Fisheries","N",758
"2001_2005","Folklore","N",1
"2001_2005","Food Science & Technology","N",182
"2001_2005","Forestry","N",1643
"2001_2005","Gastroenterology & Hepatology","N",72
"2001_2005","General & Internal Medicine","N",7
"2001_2005","Genetics & Heredity","N",3557
"2001_2005","Geochemistry & Geophysics","N",16
"2001_2005","Geography","N",961
"2001_2005","Geology","N",753
"2001_2005","Geosciences, Multidisciplinary","N",617
"2001_2005","Geriatrics & Gerontology","N",8
"2001_2005","Government & Law","N",23
"2001_2005","Health Care Sciences & Services","N",1
"2001_2005","Hematology","N",31
"2001_2005","History","N",38
"2001_2005","Horticulture","N",767
"2001_2005","Hospitality, Leisure, Sport & Tourism","N",1
"2001_2005","Humanities, Multidisciplinary","N",1
"2001_2005","Imaging Science & Photographic Technology","N",85
"2001_2005","Immunology","N",1015
"2001_2005","Infectious Diseases","N",562
"2001_2005","Information Science & Library Science","N",14
"2001_2005","Instruments & Instrumentation","N",22
"2001_2005","Integrative & Complementary Medicine","N",22
"2001_2005","International Relations","N",9
"2001_2005","Language & Linguistics","N",1
"2001_2005","Law","N",18
"2001_2005","Legal Medicine","N",29
"2001_2005","Life Sciences & Biomedicine - Other Topics","N",1127
"2001_2005","Limnology","N",349
"2001_2005","Linguistics","N",2
"2001_2005","Literature","N",1
"2001_2005","Management","N",6
"2001_2005","Marine & Freshwater Biology","N",3124
"2001_2005","Materials Science","N",42
"2001_2005","Mathematical & Computational Biology","N",147
"2001_2005","Mathematical Methods In Social Sciences","N",8
"2001_2005","Mathematics","N",150
"2001_2005","Mechanics","N",3
"2001_2005","Medical Subscience","N",13
"2001_2005","Medicine, General & Internal","N",7
"2001_2005","Medicine, Legal","N",29
"2001_2005","Medicine, Research & Experimental","N",78
"2001_2005","Metallurgy & Metallurgical Engineering","N",1
"2001_2005","Meteorology & Atmospheric Sciences","N",124
"2001_2005","Microbiology","N",3591
"2001_2005","Microscopy","N",7
"2001_2005","Mineralogy","N",2
"2001_2005","Mining & Mineral Processing","N",12
"2001_2005","Multidisciplinary Sciences","N",984
"2001_2005","Mycology","N",498
"2001_2005","Nanoscience & Nanotechnology","N",12
"2001_2005","Neurosciences","N",153
"2001_2005","Nuclear Science & Technology","N",3
"2001_2005","Nutrition & Dietetics","N",21
"2001_2005","Obstetrics & Gynecology","N",6
"2001_2005","Oceanography","N",909
"2001_2005","Oncology","N",108
"2001_2005","Operations Research & Management Science","N",37
"2001_2005","Ophthalmology","N",2
"2001_2005","Optics","N",5
"2001_2005","Ornithology","N",222
"2001_2005","Paleontology","N",571
"2001_2005","Parasitology","N",453
"2001_2005","Pathology","N",106
"2001_2005","Pediatrics","N",11
"2001_2005","Peripheral Vascular Disease","N",5
"2001_2005","Pharmacology & Pharmacy","N",299
"2001_2005","Physical Geography","N",865
"2001_2005","Physics","N",29
"2001_2005","Physiology","N",165
"2001_2005","Planning & Development","N",39
"2001_2005","Plant Sciences","N",4559
"2001_2005","Political Science","N",5
"2001_2005","Polymer Science","N",3
"2001_2005","Psychiatry","N",11
"2001_2005","Psychology","N",17
"2001_2005","Public Administration","N",43
"2001_2005","Public, Environmental & Occupational Health","N",213
"2001_2005","Radiology, Nuclear Medicine & Medical Imaging","N",5
"2001_2005","Remote Sensing","N",97
"2001_2005","Reproductive Biology","N",48
"2001_2005","Research & Experimental Medicine","N",78
"2001_2005","Respiratory System","N",12
"2001_2005","Robotics","N",15
"2001_2005","Science & Technology - Other Topics","N",996
"2001_2005","Social Sciences","N",60
"2001_2005","Sociology","N",51
"2001_2005","Soil Science","N",312
"2001_2005","Spectroscopy","N",10
"2001_2005","Sport Sciences","N",6
"2001_2005","Statistics & Probability","N",83
"2001_2005","Substance Abuse","N",3
"2001_2005","Surgery","N",11
"2001_2005","Telecommunications","N",13
"2001_2005","Thermodynamics","N",3
"2001_2005","Toxicology","N",188
"2001_2005","Transplantation","N",19
"2001_2005","Transportation","N",2
"2001_2005","Tropical Medicine","N",147
"2001_2005","Urban Studies","N",98
"2001_2005","Urology & Nephrology","N",2
"2001_2005","Veterinary Sciences","N",172
"2001_2005","Virology","N",726
"2001_2005","Water Resources","N",381
"2001_2005","Zoology","N",1774
"2006_2012","Acoustics","N",1
"2006_2012","Agriculture","N",1892
"2006_2012","Agronomy","N",1124
"2006_2012","Allergy","N",17
"2006_2012","Anatomy & Morphology","N",62
"2006_2012","Anthropology","N",261
"2006_2012","Archaeology","N",37
"2006_2012","Architecture","N",4
"2006_2012","Area Studies","N",4
"2006_2012","Astronomy & Astrophysics","N",12
"2006_2012","Automation & Control Systems","N",56
"2006_2012","Behavioral Sciences","N",131
"2006_2012","Biochemical Research Methods","N",398
"2006_2012","Biochemistry & Molecular Biology","N",3513
"2006_2012","Biodiversity Conservation","N",3108
"2006_2012","Biology","N",1253
"2006_2012","Biomedical Social Sciences","N",9
"2006_2012","Biophysics","N",153
"2006_2012","Biotechnology & Applied Microbiology","N",2503
"2006_2012","Business","N",205
"2006_2012","Cardiology","N",6
"2006_2012","Cell Biology","N",496
"2006_2012","Cell & Tissue Engineering","N",3
"2006_2012","Chemistry","N",800
"2006_2012","Clinical Neurology","N",2
"2006_2012","Communication","N",4
"2006_2012","Computer Science","N",590
"2006_2012","Construction & Building Technology","N",6
"2006_2012","Crystallography","N",22
"2006_2012","Cultural Studies","N",2
"2006_2012","Demography","N",8
"2006_2012","Dentistry, Oral Surgery & Medicine","N",15
"2006_2012","Dermatology","N",5
"2006_2012","Developmental Biology","N",159
"2006_2012","Ecology","N",10247
"2006_2012","Economics","N",188
"2006_2012","Education","N",11
"2006_2012","Electrochemistry","N",13
"2006_2012","Endocrinology & Metabolism","N",29
"2006_2012","Energy & Fuels","N",87
"2006_2012","Engineering","N",469
"2006_2012","Entomology","N",968
"2006_2012","Environmental Studies","N",712
"2006_2012","Ergonomics","N",1
"2006_2012","Ethics","N",13
"2006_2012","Ethnic Studies","N",1
"2006_2012","Evolutionary Biology","N",3093
"2006_2012","Fisheries","N",749
"2006_2012","Folklore","N",1
"2006_2012","Food Science & Technology","N",307
"2006_2012","Forestry","N",1522
"2006_2012","Gastroenterology & Hepatology","N",80
"2006_2012","General & Internal Medicine","N",5
"2006_2012","Genetics & Heredity","N",3668
"2006_2012","Geochemistry & Geophysics","N",8
"2006_2012","Geography","N",1085
"2006_2012","Geology","N",956
"2006_2012","Geosciences, Multidisciplinary","N",836
"2006_2012","Geriatrics & Gerontology","N",2
"2006_2012","Government & Law","N",35
"2006_2012","Health Care Sciences & Services","N",7
"2006_2012","Health Policy & Services","N",6
"2006_2012","Hematology","N",18
"2006_2012","History","N",52
"2006_2012","Horticulture","N",484
"2006_2012","Hospitality, Leisure, Sport & Tourism","N",4
"2006_2012","Humanities, Multidisciplinary","N",5
"2006_2012","Imaging Science & Photographic Technology","N",102
"2006_2012","Immunology","N",837
"2006_2012","Infectious Diseases","N",623
"2006_2012","Information Science & Library Science","N",8
"2006_2012","Instruments & Instrumentation","N",15
"2006_2012","Integrative & Complementary Medicine","N",35
"2006_2012","International Relations","N",24
"2006_2012","Law","N",27
"2006_2012","Legal Medicine","N",18
"2006_2012","Life Sciences & Biomedicine - Other Topics","N",1253
"2006_2012","Limnology","N",356
"2006_2012","Literature","N",1
"2006_2012","Management","N",19
"2006_2012","Marine & Freshwater Biology","N",3287
"2006_2012","Materials Science","N",72
"2006_2012","Mathematical & Computational Biology","N",283
"2006_2012","Mathematical Methods In Social Sciences","N",3
"2006_2012","Mathematics","N",153
"2006_2012","Mechanics","N",7
"2006_2012","Medical Subscience","N",20
"2006_2012","Medicine, General & Internal","N",5
"2006_2012","Medicine, Legal","N",18
"2006_2012","Medicine, Research & Experimental","N",68
"2006_2012","Meteorology & Atmospheric Sciences","N",94
"2006_2012","Microbiology","N",3861
"2006_2012","Microscopy","N",14
"2006_2012","Mineralogy","N",3
"2006_2012","Mining & Mineral Processing","N",2
"2006_2012","Multidisciplinary Sciences","N",1098
"2006_2012","Mycology","N",525
"2006_2012","Nanoscience & Nanotechnology","N",33
"2006_2012","Neurosciences","N",118
"2006_2012","Nuclear Science & Technology","N",1
"2006_2012","Nutrition & Dietetics","N",24
"2006_2012","Obstetrics & Gynecology","N",10
"2006_2012","Oceanography","N",920
"2006_2012","Oncology","N",105
"2006_2012","Operations Research & Management Science","N",38
"2006_2012","Optics","N",16
"2006_2012","Ornithology","N",283
"2006_2012","Orthopedics","N",2
"2006_2012","Paleontology","N",577
"2006_2012","Parasitology","N",480
"2006_2012","Pathology","N",88
"2006_2012","Pediatrics","N",12
"2006_2012","Peripheral Vascular Disease","N",4
"2006_2012","Pharmacology & Pharmacy","N",338
"2006_2012","Philosophy","N",2
"2006_2012","Physical Geography","N",966
"2006_2012","Physics","N",37
"2006_2012","Physiology","N",117
"2006_2012","Planning & Development","N",45
"2006_2012","Plant Sciences","N",4383
"2006_2012","Political Science","N",10
"2006_2012","Polymer Science","N",9
"2006_2012","Psychiatry","N",8
"2006_2012","Psychology","N",32
"2006_2012","Public Administration","N",68
"2006_2012","Public, Environmental & Occupational Health","N",208
"2006_2012","Radiology, Nuclear Medicine & Medical Imaging","N",4
"2006_2012","Remote Sensing","N",138
"2006_2012","Reproductive Biology","N",57
"2006_2012","Research & Experimental Medicine","N",68
"2006_2012","Respiratory System","N",11
"2006_2012","Robotics","N",25
"2006_2012","Science & Technology - Other Topics","N",1131
"2006_2012","Social Sciences","N",50
"2006_2012","Sociology","N",93
"2006_2012","Soil Science","N",247
"2006_2012","Spectroscopy","N",4
"2006_2012","Sport Sciences","N",6
"2006_2012","Statistics & Probability","N",79
"2006_2012","Substance Abuse","N",1
"2006_2012","Surgery","N",8
"2006_2012","Telecommunications","N",36
"2006_2012","Thermodynamics","N",6
"2006_2012","Toxicology","N",177
"2006_2012","Transplantation","N",6
"2006_2012","Transportation","N",3
"2006_2012","Tropical Medicine","N",175
"2006_2012","Urban Studies","N",125
"2006_2012","Veterinary Sciences","N",272
"2006_2012","Virology","N",883
"2006_2012","Water Resources","N",300
"2006_2012","Women's Studies","N",2
"2006_2012","Zoology","N",2079
"1990_1995","Agriculture","S",45
"1990_1995","Agronomy","S",44
"1990_1995","Allergy","S",3
"1990_1995","Anatomy & Morphology","S",14
"1990_1995","Anthropology","S",22
"1990_1995","Archaeology","S",3
"1990_1995","Astronomy & Astrophysics","S",2
"1990_1995","Behavioral Sciences","S",13
"1990_1995","Biochemical Research Methods","S",22
"1990_1995","Biochemistry & Molecular Biology","S",46
"1990_1995","Biodiversity Conservation","S",40
"1990_1995","Biology","S",38
"1990_1995","Biomedical Social Sciences","S",2
"1990_1995","Biophysics","S",23
"1990_1995","Biotechnology & Applied Microbiology","S",42
"1990_1995","Business","S",9
"1990_1995","Cardiology","S",2
"1990_1995","Cell Biology","S",32
"1990_1995","Cell & Tissue Engineering","S",2
"1990_1995","Chemistry","S",26
"1990_1995","Clinical Neurology","S",2
"1990_1995","Computer Science","S",14
"1990_1995","Crystallography","S",2
"1990_1995","Demography","S",1
"1990_1995","Dentistry, Oral Surgery & Medicine","S",5
"1990_1995","Developmental Biology","S",16
"1990_1995","Ecology","S",46
"1990_1995","Economics","S",8
"1990_1995","Education","S",1
"1990_1995","Electrochemistry","S",1
"1990_1995","Endocrinology & Metabolism","S",7
"1990_1995","Energy & Fuels","S",6
"1990_1995","Engineering","S",28
"1990_1995","Entomology","S",34
"1990_1995","Environmental Studies","S",24
"1990_1995","Ethics","S",5
"1990_1995","Ethnic Studies","S",1
"1990_1995","Evolutionary Biology","S",44
"1990_1995","Fisheries","S",28
"1990_1995","Food Science & Technology","S",12
"1990_1995","Forestry","S",32
"1990_1995","Gastroenterology & Hepatology","S",7
"1990_1995","General & Internal Medicine","S",3
"1990_1995","Genetics & Heredity","S",45
"1990_1995","Geography","S",31
"1990_1995","Geology","S",30
"1990_1995","Geosciences, Multidisciplinary","S",25
"1990_1995","Geriatrics & Gerontology","S",1
"1990_1995","Government & Law","S",2
"1990_1995","Health Care Sciences & Services","S",2
"1990_1995","Health Policy & Services","S",1
"1990_1995","Hematology","S",11
"1990_1995","History","S",4
"1990_1995","Horticulture","S",41
"1990_1995","Hospitality, Leisure, Sport & Tourism","S",1
"1990_1995","Imaging Science & Photographic Technology","S",6
"1990_1995","Immunology","S",42
"1990_1995","Industrial Relations & Labor","S",1
"1990_1995","Infectious Diseases","S",28
"1990_1995","Information Science & Library Science","S",1
"1990_1995","Integrative & Complementary Medicine","S",3
"1990_1995","Law","S",2
"1990_1995","Life Sciences & Biomedicine - Other Topics","S",38
"1990_1995","Limnology","S",24
"1990_1995","Management","S",1
"1990_1995","Marine & Freshwater Biology","S",38
"1990_1995","Materials Science","S",2
"1990_1995","Mathematical & Computational Biology","S",15
"1990_1995","Mathematics","S",7
"1990_1995","Mechanics","S",1
"1990_1995","Medical Subscience","S",6
"1990_1995","Medicine, General & Internal","S",3
"1990_1995","Medicine, Research & Experimental","S",18
"1990_1995","Meteorology & Atmospheric Sciences","S",19
"1990_1995","Microbiology","S",42
"1990_1995","Microscopy","S",9
"1990_1995","Mining & Mineral Processing","S",1
"1990_1995","Multidisciplinary Sciences","S",36
"1990_1995","Mycology","S",19
"1990_1995","Neurosciences","S",30
"1990_1995","Nutrition & Dietetics","S",2
"1990_1995","Obstetrics & Gynecology","S",2
"1990_1995","Oceanography","S",30
"1990_1995","Oncology","S",18
"1990_1995","Operations Research & Management Science","S",2
"1990_1995","Ornithology","S",18
"1990_1995","Paleontology","S",30
"1990_1995","Parasitology","S",30
"1990_1995","Pathology","S",17
"1990_1995","Pediatrics","S",2
"1990_1995","Pharmacology & Pharmacy","S",19
"1990_1995","Physical Geography","S",30
"1990_1995","Physics","S",2
"1990_1995","Physiology","S",26
"1990_1995","Planning & Development","S",3
"1990_1995","Plant Sciences","S",45
"1990_1995","Polymer Science","S",1
"1990_1995","Psychiatry","S",2
"1990_1995","Psychology","S",6
"1990_1995","Public Administration","S",3
"1990_1995","Public, Environmental & Occupational Health","S",26
"1990_1995","Radiology, Nuclear Medicine & Medical Imaging","S",3
"1990_1995","Remote Sensing","S",6
"1990_1995","Reproductive Biology","S",14
"1990_1995","Research & Experimental Medicine","S",18
"1990_1995","Respiratory System","S",2
"1990_1995","Science & Technology - Other Topics","S",36
"1990_1995","Social Sciences","S",11
"1990_1995","Sociology","S",10
"1990_1995","Soil Science","S",27
"1990_1995","Sport Sciences","S",1
"1990_1995","Statistics & Probability","S",4
"1990_1995","Surgery","S",2
"1990_1995","Toxicology","S",19
"1990_1995","Transplantation","S",4
"1990_1995","Tropical Medicine","S",21
"1990_1995","Urban Studies","S",15
"1990_1995","Urology & Nephrology","S",2
"1990_1995","Veterinary Sciences","S",22
"1990_1995","Virology","S",31
"1990_1995","Water Resources","S",23
"1990_1995","Zoology","S",42
"1996_2000","Agriculture","S",41
"1996_2000","Agronomy","S",40
"1996_2000","Allergy","S",4
"1996_2000","Anatomy & Morphology","S",18
"1996_2000","Anthropology","S",31
"1996_2000","Archaeology","S",7
"1996_2000","Area Studies","S",2
"1996_2000","Art","S",2
"1996_2000","Astronomy & Astrophysics","S",6
"1996_2000","Automation & Control Systems","S",9
"1996_2000","Behavioral Sciences","S",18
"1996_2000","Biochemical Research Methods","S",27
"1996_2000","Biochemistry & Molecular Biology","S",46
"1996_2000","Biodiversity Conservation","S",42
"1996_2000","Biology","S",39
"1996_2000","Biomedical Social Sciences","S",2
