"Observed","Estimator","Est_s.e.","95% Lower","95% Upper","ResArea_Orig","TimeWindow","Order"
12,16.612,4.585,12.908,35.417,"Food Science & Technology","1990_1995",0
32,48.596,14.785,35.71,106.237,"Forestry","1990_1995",0
7,9.4,3.175,7.334,24.232,"Gastroenterology & Hepatology","1990_1995",0
3,5,2.921,3.246,19.244,"General & Internal Medicine","1990_1995",0
45,51.119,6.072,46.208,76.006,"Genetics & Heredity","1990_1995",0
31,38.953,7.443,32.681,68.638,"Geography","1990_1995",0
30,49.45,14.255,35.38,100.314,"Geology","1990_1995",0
25,34.907,8.294,27.374,66.333,"Geosciences, Multidisciplinary","1990_1995",0
1,1,0.312,1,2.549,"Geriatrics & Gerontology","1990_1995",0
2,2.333,0.943,2.018,8.09,"Government & Law","1990_1995",0
2,2.5,1.107,2.037,8.808,"Health Care Sciences & Services","1990_1995",0
1,1,0.312,1,2.549,"Health Policy & Services","1990_1995",0
11,25.933,15.425,13.811,90.336,"Hematology","1990_1995",0
4,8.5,5.275,4.727,31.843,"History","1990_1995",0
41,49.608,6.792,43.201,74.659,"Horticulture","1990_1995",0
1,1,0.312,1,2.549,"Hospitality, Leisure, Sport & Tourism","1990_1995",0
6,18.5,11.242,8.764,62.521,"Imaging Science & Photographic Technology","1990_1995",0
42,47.05,4.424,43.151,64.165,"Immunology","1990_1995",0
1,1,0.312,1,2.549,"Industrial Relations & Labor","1990_1995",0
28,37.892,8.283,30.371,69.279,"Infectious Diseases","1990_1995",0
1,1,0.312,1,2.549,"Information Science & Library Science","1990_1995",0
3,5,2.921,3.246,19.244,"Integrative & Complementary Medicine","1990_1995",0
2,2.333,0.943,2.018,8.09,"Law","1990_1995",0
38,42.066,4.034,38.803,58.595,"Life Sciences & Biomedicine - Other Topics","1990_1995",0
24,44.045,19.989,27.934,126.149,"Limnology","1990_1995",0
1,1,0.312,1,2.549,"Management","1990_1995",0
38,41.121,3.654,38.505,57.279,"Marine & Freshwater Biology","1990_1995",0
2,2.5,1.107,2.037,8.808,"Materials Science","1990_1995",0
15,34.575,19.531,18.839,114.823,"Mathematical & Computational Biology","1990_1995",0
7,10.667,4.882,7.507,33.538,"Mathematics","1990_1995",0
1,1,0.312,1,2.549,"Mechanics","1990_1995",0
6,16.714,14.743,7.421,86.784,"Medical Subscience","1990_1995",0
3,5,2.921,3.246,19.244,"Medicine, General & Internal","1990_1995",0
18,34.279,14.513,21.636,90.879,"Medicine, Research & Experimental","1990_1995",0
19,42.314,19.639,24.55,116.936,"Meteorology & Atmospheric Sciences","1990_1995",0
42,48.113,6.067,43.206,72.981,"Microbiology","1990_1995",0
9,37.8,35.679,13.35,199.677,"Microscopy","1990_1995",0
1,1,0.312,1,2.549,"Mining & Mineral Processing","1990_1995",0
36,43.974,7.461,37.685,73.729,"Multidisciplinary Sciences","1990_1995",0
19,22.541,3.796,19.638,38.663,"Mycology","1990_1995",0
30,40.424,7.579,32.907,67.37,"Neurosciences","1990_1995",0
2,2.5,1.107,2.037,8.808,"Nutrition & Dietetics","1990_1995",0
2,2.5,1.107,2.037,8.808,"Obstetrics & Gynecology","1990_1995",0
30,31.555,1.947,30.232,40.433,"Oceanography","1990_1995",0
18,28.473,10.093,20.139,69.281,"Oncology","1990_1995",0
2,2.5,1.107,2.037,8.808,"Operations Research & Management Science","1990_1995",0
18,30.049,12.946,20.164,85.094,"Ornithology","1990_1995",0
30,90.142,70.658,39.694,403.123,"Paleontology","1990_1995",0
30,38.562,6.76,32.188,63.5,"Parasitology","1990_1995",0
17,64.185,42.386,27.449,230.069,"Pathology","1990_1995",0
2,2.5,1.107,2.037,8.808,"Pediatrics","1990_1995",0
19,46.228,22.415,25.648,130.511,"Pharmacology & Pharmacy","1990_1995",0
30,34.057,4.026,30.801,50.557,"Physical Geography","1990_1995",0
2,2.333,0.943,2.018,8.09,"Physics","1990_1995",0
26,30.988,4.377,27.134,47.933,"Physiology","1990_1995",0
3,5,2.921,3.246,19.244,"Planning & Development","1990_1995",0
45,45.4,0.867,45.03,50.306,"Plant Sciences","1990_1995",0
1,1,0.312,1,2.549,"Polymer Science","1990_1995",0
2,2.5,1.107,2.037,8.808,"Psychiatry","1990_1995",0
6,14.75,8.841,7.691,51.286,"Psychology","1990_1995",0
3,5,2.921,3.246,19.244,"Public Administration","1990_1995",0
26,62.779,29.127,35.369,170.385,"Public, Environmental & Occupational Health","1990_1995",0
3,5,2.921,3.246,19.244,"Radiology, Nuclear Medicine & Medical Imaging","1990_1995",0
6,18.5,11.242,8.764,62.521,"Remote Sensing","1990_1995",0
14,21.674,6.754,15.739,47.862,"Reproductive Biology","1990_1995",0
18,34.279,14.513,21.636,90.879,"Research & Experimental Medicine","1990_1995",0
2,2.5,1.107,2.037,8.808,"Respiratory System","1990_1995",0
36,43.974,7.461,37.685,73.729,"Science & Technology - Other Topics","1990_1995",0
11,48.8,45.844,16.86,254.818,"Social Sciences","1990_1995",0
10,39.538,36.583,14.463,205.498,"Sociology","1990_1995",0
27,34.451,5.881,28.905,56.142,"Soil Science","1990_1995",0
1,1,0.312,1,2.549,"Sport Sciences","1990_1995",0
4,8.5,5.275,4.727,31.843,"Statistics & Probability","1990_1995",0
2,2.333,0.943,2.018,8.09,"Surgery","1990_1995",0
19,23.398,4.704,19.794,43.356,"Toxicology","1990_1995",0
4,4.833,1.603,4.073,13.544,"Transplantation","1990_1995",0
21,75.435,48.231,33.244,263.005,"Tropical Medicine","1990_1995",0
15,34.552,19.509,18.834,114.707,"Urban Studies","1990_1995",0
2,2.5,1.107,2.037,8.808,"Urology & Nephrology","1990_1995",0
22,33.7,8.952,25.093,66.264,"Veterinary Sciences","1990_1995",0
31,47.567,14.76,34.704,105.113,"Virology","1990_1995",0
23,25.678,2.752,23.507,37.138,"Water Resources","1990_1995",0
42,50.152,8.263,43.569,84.351,"Zoology","1990_1995",0
27.558,28.95,1.213,27.558,31.327,"Agriculture","1990_1995",1
27.022,28.966,1.421,27.022,31.751,"Agronomy","1990_1995",1
2.828,4.891,3.217,2.828,11.197,"Allergy","1990_1995",1
12.238,19.269,4.315,12.238,27.727,"Anatomy & Morphology","1990_1995",1
17.433,27.292,4.762,17.959,36.625,"Anthropology","1990_1995",1
3,7.184,2.377,3,11.844,"Archaeology","1990_1995",1
2,3.375,1.136,2,5.601,"Astronomy & Astrophysics","1990_1995",1
10.381,18.619,6.012,10.381,30.404,"Behavioral Sciences","1990_1995",1
17.643,32.344,8.532,17.643,49.066,"Biochemical Research Methods","1990_1995",1
25.509,26.592,1.077,25.509,28.702,"Biochemistry & Molecular Biology","1990_1995",1
20.985,24.122,1.996,20.985,28.034,"Biodiversity Conservation","1990_1995",1
24.25,26.623,1.54,24.25,29.641,"Biology","1990_1995",1
2,3.375,1.139,2,5.608,"Biomedical Social Sciences","1990_1995",1
18.69,23.795,2.515,18.865,28.725,"Biophysics","1990_1995",1
25.558,27.864,1.623,25.558,31.046,"Biotechnology & Applied Microbiology","1990_1995",1
7.743,12.656,3.769,7.743,20.042,"Business","1990_1995",1
2,3.375,1.091,2,5.514,"Cardiology","1990_1995",1
20.328,22.44,1.358,20.328,25.101,"Cell Biology","1990_1995",1
2,3.375,1.139,2,5.608,"Cell & Tissue Engineering","1990_1995",1
21.415,26.526,2.263,22.09,30.962,"Chemistry","1990_1995",1
2,3.375,1.159,2,5.646,"Clinical Neurology","1990_1995",1
11.806,16.522,2.747,11.806,21.905,"Computer Science","1990_1995",1
2,3.375,1.146,2,5.622,"Crystallography","1990_1995",1
1,0,0,1,0,"Demography","1990_1995",1
4.762,12.419,7.001,4.762,26.142,"Dentistry, Oral Surgery & Medicine","1990_1995",1
13.656,23.134,6.545,13.656,35.962,"Developmental Biology","1990_1995",1
21.361,21.664,0.605,21.361,22.849,"Ecology","1990_1995",1
6.916,10.48,2.837,6.916,16.042,"Economics","1990_1995",1
1,0,0,1,0,"Education","1990_1995",1
1,0,0,1,0,"Electrochemistry","1990_1995",1
6.614,13.958,8.491,6.614,30.6,"Endocrinology & Metabolism","1990_1995",1
5.742,17.62,8.891,5.742,35.047,"Energy & Fuels","1990_1995",1
20.028,24.829,2.482,20.028,29.694,"Engineering","1990_1995",1
22.154,25.034,1.71,22.154,28.384,"Entomology","1990_1995",1
16.282,20.943,2.684,16.282,26.205,"Environmental Studies","1990_1995",1
5,18.564,5.687,7.417,29.711,"Ethics","1990_1995",1
1,0,0,1,0,"Ethnic Studies","1990_1995",1
23.677,24.849,1.099,23.677,27.003,"Evolutionary Biology","1990_1995",1
18.572,21.733,1.93,18.572,25.515,"Fisheries","1990_1995",1
11.308,19.633,5.559,11.308,30.529,"Food Science & Technology","1990_1995",1
15.285,16.98,1.487,15.285,19.894,"Forestry","1990_1995",1
6.598,10.995,2.784,6.598,16.452,"Gastroenterology & Hepatology","1990_1995",1
3,7.184,2.411,3,11.91,"General & Internal Medicine","1990_1995",1
23.221,23.861,0.769,23.221,25.369,"Genetics & Heredity","1990_1995",1
16.626,18.785,1.82,16.626,22.352,"Geography","1990_1995",1
16.351,19.986,2.253,16.351,24.402,"Geology","1990_1995",1
14.914,17.821,2.024,14.914,21.788,"Geosciences, Multidisciplinary","1990_1995",1
1,0,0,1,0,"Geriatrics & Gerontology","1990_1995",1
1.89,2.52,1.781,1.89,6.01,"Government & Law","1990_1995",1
2,3.375,1.136,2,5.601,"Health Care Sciences & Services","1990_1995",1
1,0,0,1,0,"Health Policy & Services","1990_1995",1
10.009,23.653,14.697,10.009,52.457,"Hematology","1990_1995",1
4,12.275,3.748,4.929,19.621,"History","1990_1995",1
24.17,26.985,1.825,24.17,30.563,"Horticulture","1990_1995",1
1,0,0,1,0,"Hospitality, Leisure, Sport & Tourism","1990_1995",1
6,26.008,8.15,10.035,41.981,"Imaging Science & Photographic Technology","1990_1995",1
21.931,23.35,1.088,21.931,25.483,"Immunology","1990_1995",1
1,0,0,1,0,"Industrial Relations & Labor","1990_1995",1
20.373,25.436,2.782,20.373,30.887,"Infectious Diseases","1990_1995",1
1,0,0,1,0,"Information Science & Library Science","1990_1995",1
3,7.184,2.435,3,11.957,"Integrative & Complementary Medicine","1990_1995",1
1.89,2.52,1.95,1.89,6.342,"Law","1990_1995",1
24.25,26.623,1.663,24.25,29.881,"Life Sciences & Biomedicine - Other Topics","1990_1995",1
15.678,19.452,2.551,15.678,24.451,"Limnology","1990_1995",1
1,0,0,1,0,"Management","1990_1995",1
19.36,19.883,0.664,19.36,21.186,"Marine & Freshwater Biology","1990_1995",1
2,3.375,1.136,2,5.601,"Materials Science","1990_1995",1
11.833,20.599,6.871,11.833,34.065,"Mathematical & Computational Biology","1990_1995",1
6,9.636,3.6,6,16.692,"Mathematics","1990_1995",1
1,0,0,1,0,"Mechanics","1990_1995",1
5.742,17.62,8.471,5.742,34.223,"Medical Subscience","1990_1995",1
3,7.184,2.348,3,11.786,"Medicine, General & Internal","1990_1995",1
13.041,19.671,4.143,13.041,27.792,"Medicine, Research & Experimental","1990_1995",1
15.242,27.833,7.095,15.242,41.739,"Meteorology & Atmospheric Sciences","1990_1995",1
23.411,24.57,1.091,23.411,26.708,"Microbiology","1990_1995",1
8.706,39.078,19.638,8.706,77.569,"Microscopy","1990_1995",1
1,0,0,1,0,"Mining & Mineral Processing","1990_1995",1
20.614,22.225,1.27,20.614,24.714,"Multidisciplinary Sciences","1990_1995",1
13.778,16.85,2.127,13.778,21.02,"Mycology","1990_1995",1
23.115,31.141,3.427,24.424,37.859,"Neurosciences","1990_1995",1
2,3.375,1.156,2,5.64,"Nutrition & Dietetics","1990_1995",1
2,3.375,1.096,2,5.524,"Obstetrics & Gynecology","1990_1995",1
18.346,19.832,1.203,18.346,22.189,"Oceanography","1990_1995",1
12.241,16.103,3.116,12.241,22.21,"Oncology","1990_1995",1
2,3.375,1.106,2,5.543,"Operations Research & Management Science","1990_1995",1
12.949,16.615,2.874,12.949,22.247,"Ornithology","1990_1995",1
18.122,22.006,2.676,18.122,27.252,"Paleontology","1990_1995",1
19.724,24.08,2.491,19.724,28.961,"Parasitology","1990_1995",1
11.713,31.258,16.925,11.713,64.431,"Pathology","1990_1995",1
2,3.375,1.124,2,5.578,"Pediatrics","1990_1995",1
16.032,34.049,10.126,16.032,53.896,"Pharmacology & Pharmacy","1990_1995",1
16.944,19.038,1.682,16.944,22.334,"Physical Geography","1990_1995",1
1.89,2.52,2,1.89,6.44,"Physics","1990_1995",1
20.247,26.085,2.612,20.966,31.205,"Physiology","1990_1995",1
3,7.184,2.408,3,11.903,"Planning & Development","1990_1995",1
23.558,24.066,0.78,23.558,25.596,"Plant Sciences","1990_1995",1
1,0,0,1,0,"Polymer Science","1990_1995",1
2,3.375,1.132,2,5.593,"Psychiatry","1990_1995",1
5.299,13.143,7.476,5.299,27.794,"Psychology","1990_1995",1
3,7.184,2.448,3,11.983,"Public Administration","1990_1995",1
21.254,37.525,8.918,21.254,55.005,"Public, Environmental & Occupational Health","1990_1995",1
3,7.184,2.393,3,11.874,"Radiology, Nuclear Medicine & Medical Imaging","1990_1995",1
6,26.008,7.543,11.224,40.792,"Remote Sensing","1990_1995",1
13.192,25.134,10.215,13.192,45.156,"Reproductive Biology","1990_1995",1
13.041,19.671,4.055,13.041,27.619,"Research & Experimental Medicine","1990_1995",1
2,3.375,1.143,2,5.615,"Respiratory System","1990_1995",1
20.614,22.225,1.325,20.614,24.823,"Science & Technology - Other Topics","1990_1995",1
9.449,31.934,24.141,9.449,79.249,"Social Sciences","1990_1995",1
9.068,30.187,19.545,9.068,68.493,"Sociology","1990_1995",1
20.371,27.068,3.264,20.671,33.464,"Soil Science","1990_1995",1
1,0,0,1,0,"Sport Sciences","1990_1995",1
4,12.275,3.901,4.63,19.92,"Statistics & Probability","1990_1995",1
1.89,2.52,1.786,1.89,6.021,"Surgery","1990_1995",1
16.859,22.524,2.545,17.536,27.513,"Toxicology","1990_1995",1
3.78,5.605,1.714,3.78,8.964,"Transplantation","1990_1995",1
18.528,49.746,20.116,18.528,89.174,"Tropical Medicine","1990_1995",1
12.16,21.575,6.768,12.16,34.839,"Urban Studies","1990_1995",1
2,3.375,1.139,2,5.608,"Urology & Nephrology","1990_1995",1
18.426,29.499,5.3,19.111,39.886,"Veterinary Sciences","1990_1995",1
18.273,21.135,2.063,18.273,25.178,"Virology","1990_1995",1
18.386,23.162,2.306,18.642,27.683,"Water Resources","1990_1995",1
21.098,22.12,1.117,21.098,24.309,"Zoology","1990_1995",1
19.692,20.483,1.208,19.692,22.851,"Agriculture","1990_1995",2
18.782,19.793,1.638,18.782,23.003,"Agronomy","1990_1995",2
2.667,6,1.808,2.667,9.544,"Allergy","1990_1995",2
10.903,18.056,4.457,10.903,26.791,"Anatomy & Morphology","1990_1995",2
13.829,19.708,4.182,13.829,27.905,"Anthropology","1990_1995",2
3,3,0.528,3,4.035,"Archaeology","1990_1995",2
2,2,0.455,2,2.892,"Astronomy & Astrophysics","1990_1995",2
8.229,12,4.172,8.229,20.177,"Behavioral Sciences","1990_1995",2
13.954,21.171,6.32,13.954,33.559,"Biochemical Research Methods","1990_1995",2
17.37,17.782,0.974,17.37,19.692,"Biochemistry & Molecular Biology","1990_1995",2
12.444,13.107,1.523,12.444,16.092,"Biodiversity Conservation","1990_1995",2
17.468,18.755,1.769,17.468,22.222,"Biology","1990_1995",2
2,2,0.475,2,2.931,"Biomedical Social Sciences","1990_1995",2
15.565,20.344,2.657,15.565,25.551,"Biophysics","1990_1995",2
17.047,18.031,1.558,17.047,21.084,"Biotechnology & Applied Microbiology","1990_1995",2
6.737,10.909,3.347,6.737,17.468,"Business","1990_1995",2
2,2,0.471,2,2.924,"Cardiology","1990_1995",2
14.925,16.072,1.613,14.925,19.235,"Cell Biology","1990_1995",2
2,2,0.48,2,2.94,"Cell & Tissue Engineering","1990_1995",2
18.253,23.903,2.919,18.253,29.623,"Chemistry","1990_1995",2
2,2,0.478,2,2.937,"Clinical Neurology","1990_1995",2
10.227,15,2.601,10.227,20.099,"Computer Science","1990_1995",2
2,2,0.477,2,2.934,"Crystallography","1990_1995",2
1,1,0,1,1,"Demography","1990_1995",2
4.5,15,4.712,5.764,24.236,"Dentistry, Oral Surgery & Medicine","1990_1995",2
11.845,19.333,5.066,11.845,29.262,"Developmental Biology","1990_1995",2
12.605,12.694,0.561,12.605,13.794,"Ecology","1990_1995",2
6.081,9.545,3.001,6.081,15.428,"Economics","1990_1995",2
1,1,0,1,1,"Education","1990_1995",2
1,1,0,1,1,"Electrochemistry","1990_1995",2
6.231,18,8.397,6.231,34.457,"Endocrinology & Metabolism","1990_1995",2
5.444,21,6.489,8.281,33.719,"Energy & Fuels","1990_1995",2
14.479,17.246,2.75,14.479,22.636,"Engineering","1990_1995",2
16.401,18.004,1.673,16.401,21.283,"Entomology","1990_1995",2
11.379,13.36,2.491,11.379,18.243,"Environmental Studies","1990_1995",2
5,5,2.67,5,10.233,"Ethics","1990_1995",2
1,1,0,1,1,"Ethnic Studies","1990_1995",2
17.006,17.457,0.849,17.006,19.121,"Evolutionary Biology","1990_1995",2
14.606,16.23,1.524,14.606,19.217,"Fisheries","1990_1995",2
10.704,27.2,4.97,17.459,36.941,"Food Science & Technology","1990_1995",2
9.261,9.597,0.995,9.261,11.547,"Forestry","1990_1995",2
6.25,15,3.247,8.637,21.363,"Gastroenterology & Hepatology","1990_1995",2
3,3,0.528,3,4.035,"General & Internal Medicine","1990_1995",2
16.763,17.036,0.703,16.763,18.414,"Genetics & Heredity","1990_1995",2
9.757,10.287,1.442,9.757,13.113,"Geography","1990_1995",2
11.224,12.182,1.462,11.224,15.047,"Geology","1990_1995",2
10.791,11.889,1.522,10.791,14.873,"Geosciences, Multidisciplinary","1990_1995",2
1,1,0,1,1,"Geriatrics & Gerontology","1990_1995",2
1.8,3,0.85,1.8,4.666,"Government & Law","1990_1995",2
2,2,0.478,2,2.937,"Health Care Sciences & Services","1990_1995",2
1,1,0,1,1,"Health Policy & Services","1990_1995",2
9,21,12.33,9,45.166,"Hematology","1990_1995",2
4,4,1.508,4,6.956,"History","1990_1995",2
16.715,17.866,1.665,16.715,21.13,"Horticulture","1990_1995",2
1,1,0,1,1,"Hospitality, Leisure, Sport & Tourism","1990_1995",2
6,6,4.49,6,14.8,"Imaging Science & Photographic Technology","1990_1995",2
15.357,15.924,1.026,15.357,17.935,"Immunology","1990_1995",2
1,1,0,1,1,"Industrial Relations & Labor","1990_1995",2
15.812,18.846,2.707,15.812,24.151,"Infectious Diseases","1990_1995",2
1,1,0,1,1,"Information Science & Library Science","1990_1995",2
3,3,0.559,3,4.096,"Integrative & Complementary Medicine","1990_1995",2
1.8,3,0.868,1.8,4.702,"Law","1990_1995",2
17.468,18.755,1.636,17.468,21.962,"Life Sciences & Biomedicine - Other Topics","1990_1995",2
11.383,12.732,1.836,11.383,16.331,"Limnology","1990_1995",2
1,1,0,1,1,"Management","1990_1995",2
13.877,14.104,0.594,13.877,15.269,"Marine & Freshwater Biology","1990_1995",2
2,2,0.445,2,2.872,"Materials Science","1990_1995",2
9.574,13.594,3.597,9.574,20.644,"Mathematical & Computational Biology","1990_1995",2
5.143,8.25,3.268,5.143,14.655,"Mathematics","1990_1995",2
1,1,0,1,1,"Mechanics","1990_1995",2
5.444,21,6.492,8.275,33.725,"Medical Subscience","1990_1995",2
3,3,0.512,3,4.003,"Medicine, General & Internal","1990_1995",2
9.995,12.718,2.872,9.995,18.347,"Medicine, Research & Experimental","1990_1995",2
12.374,18.594,4.865,12.374,28.129,"Meteorology & Atmospheric Sciences","1990_1995",2
15.892,16.357,1.099,15.892,18.512,"Microbiology","1990_1995",2
8.333,45,14.736,16.117,73.883,"Microscopy","1990_1995",2
1,1,0,1,1,"Mining & Mineral Processing","1990_1995",2
14.681,15.361,1.165,14.681,17.644,"Multidisciplinary Sciences","1990_1995",2
10.482,12.449,2.154,10.482,16.67,"Mycology","1990_1995",2
18.753,24.569,2.853,18.977,30.161,"Neurosciences","1990_1995",2
2,2,0.475,2,2.931,"Nutrition & Dietetics","1990_1995",2
2,2,0.477,2,2.934,"Obstetrics & Gynecology","1990_1995",2
13.819,14.704,1.205,13.819,17.067,"Oceanography","1990_1995",2
8.976,10.532,2.154,8.976,14.753,"Oncology","1990_1995",2
2,2,0.471,2,2.924,"Operations Research & Management Science","1990_1995",2
9.818,11.509,2.161,9.818,15.746,"Ornithology","1990_1995",2
13.885,15.038,1.268,13.885,17.524,"Paleontology","1990_1995",2
14.117,16.111,2.302,14.117,20.622,"Parasitology","1990_1995",2
7.078,9.237,6.956,7.078,22.871,"Pathology","1990_1995",2
2,2,0.477,2,2.934,"Pediatrics","1990_1995",2
13.235,22.895,8.427,13.235,39.411,"Pharmacology & Pharmacy","1990_1995",2
10.507,11.184,1.432,10.507,13.991,"Physical Geography","1990_1995",2
1.8,3,0.856,1.8,4.678,"Physics","1990_1995",2
16.056,20.709,3.062,16.056,26.71,"Physiology","1990_1995",2
3,3,0.476,3,3.933,"Planning & Development","1990_1995",2
15.933,16.158,0.678,15.933,17.487,"Plant Sciences","1990_1995",2
1,1,0,1,1,"Polymer Science","1990_1995",2
2,2,0.428,2,2.839,"Psychiatry","1990_1995",2
4.571,9.333,6.903,4.571,22.863,"Psychology","1990_1995",2
3,3,0.512,3,4.003,"Public Administration","1990_1995",2
18.027,27.061,6.129,18.027,39.074,"Public, Environmental & Occupational Health","1990_1995",2
3,3,0.494,3,3.969,"Radiology, Nuclear Medicine & Medical Imaging","1990_1995",2
6,6,4.551,6,14.919,"Remote Sensing","1990_1995",2
12.448,34.2,6.061,22.321,46.079,"Reproductive Biology","1990_1995",2
9.995,12.718,3.012,9.995,18.621,"Research & Experimental Medicine","1990_1995",2
2,2,0.445,2,2.872,"Respiratory System","1990_1995",2
14.681,15.361,1.051,14.681,17.421,"Science & Technology - Other Topics","1990_1995",2
7.759,15,17.739,7.759,49.768,"Social Sciences","1990_1995",2
8.048,19.5,17.767,8.048,54.323,"Sociology","1990_1995",2
15.622,19.982,3.259,15.622,26.37,"Soil Science","1990_1995",2
1,1,0,1,1,"Sport Sciences","1990_1995",2
4,4,1.412,4,6.767,"Statistics & Probability","1990_1995",2
1.8,3,0.879,1.8,4.724,"Surgery","1990_1995",2
15.365,23.073,2.909,17.371,28.775,"Toxicology","1990_1995",2
3.6,7.5,3.114,3.6,13.604,"Transplantation","1990_1995",2
16.288,33.214,13.328,16.288,59.336,"Tropical Medicine","1990_1995",2
10.133,15.037,4.87,10.133,24.582,"Urban Studies","1990_1995",2
2,2,0.47,2,2.92,"Urology & Nephrology","1990_1995",2
15.385,24.375,5.495,15.385,35.146,"Veterinary Sciences","1990_1995",2
12.888,13.875,1.444,12.888,16.706,"Virology","1990_1995",2
15.188,19.891,2.714,15.188,25.21,"Water Resources","1990_1995",2
13.249,13.55,0.996,13.249,15.503,"Zoology","1990_1995",2
41,42.998,3.739,41.181,63.111,"Agriculture","1996_2000",0
40,52.485,17.119,41.663,133.724,"Agronomy","1996_2000",0
4,5.714,3.245,4.153,23.247,"Allergy","1996_2000",0
18,20.505,2.755,18.438,32.342,"Anatomy & Morphology","1996_2000",0
31,44.972,10.324,34.832,81.943,"Anthropology","1996_2000",0
7,9.4,3.175,7.334,24.232,"Archaeology","1996_2000",0
2,2,0.46,2,3.596,"Area Studies","1996_2000",0
2,2.5,1.107,2.037,8.808,"Art","1996_2000",0
6,18.5,11.242,8.764,62.521,"Astronomy & Astrophysics","1996_2000",0
9,17.308,9.425,10.397,58.395,"Automation & Control Systems","1996_2000",0
18,21.546,3.801,18.639,37.688,"Behavioral Sciences","1996_2000",0
27,35.024,7.036,28.826,62.259,"Biochemical Research Methods","1996_2000",0
46,53.995,11.655,46.987,110.779,"Biochemistry & Molecular Biology","1996_2000",0
42,43.124,1.768,42.126,52.013,"Biodiversity Conservation","1996_2000",0
39,47.984,10.156,40.518,92.188,"Biology","1996_2000",0
2,2.5,1.107,2.037,8.808,"Biomedical Social Sciences","1996_2000",0
33,60.914,20.748,40.608,135.412,"Biophysics","1996_2000",0
47,55.158,8.269,48.57,89.382,"Biotechnology & Applied Microbiology","1996_2000",0
18,25.843,7.347,19.655,55.16,"Business","1996_2000",0
8,29.778,27.696,11.185,156.921,"Cardiology","1996_2000",0
33,43.637,10.243,35.174,85.036,"Cell Biology","1996_2000",0
1,1,0.312,1,2.549,"Cell & Tissue Engineering","1996_2000",0
33,87.787,34.882,50.463,204.882,"Chemistry","1996_2000",0
4,6.5,3.655,4.307,24.328,"Clinical Neurology","1996_2000",0
1,1,0.312,1,2.549,"Communication","1996_2000",0
24,27.568,3.821,24.643,43.791,"Computer Science","1996_2000",0
3,5,2.921,3.246,19.244,"Crystallography","1996_2000",0
2,2.333,0.943,2.018,8.09,"Demography","1996_2000",0
8,19.667,16.021,9.551,95.744,"Dentistry, Oral Surgery & Medicine","1996_2000",0
5,11.667,9.775,5.817,59.411,"Dermatology","1996_2000",0
20,27.873,7.373,21.662,57.29,"Developmental Biology","1996_2000",0
