"ResAreas_Orig" "B_den" "C_den" "D" "TimeWindow" "TBI"
"Computer Science" 0.172413793103448 0.517241379310345 0.689655172413793 "Time1_2" "Jaccard"
"Crystallography" 0.4 0.6 1 "Time1_2" "Jaccard"
"Demography" 0 0.5 0.5 "Time1_2" "Jaccard"
"Dentistry, Oral Surgery & Medicine" 0.272727272727273 0.545454545454545 0.818181818181818 "Time1_2" "Jaccard"
"Developmental Biology" 0.259259259259259 0.407407407407407 0.666666666666667 "Time1_2" "Jaccard"
"Ecology" 0.06 0.08 0.14 "Time1_2" "Jaccard"
"Economics" 0.15 0.6 0.75 "Time1_2" "Jaccard"
"Education" 0.2 0.8 1 "Time1_2" "Jaccard"
"Electrochemistry" 0 0.5 0.5 "Time1_2" "Jaccard"
"Endocrinology & Metabolism" 0.235294117647059 0.588235294117647 0.823529411764706 "Time1_2" "Jaccard"
"Energy & Fuels" 0.166666666666667 0.666666666666667 0.833333333333333 "Time1_2" "Jaccard"
"Engineering" 0.194444444444444 0.222222222222222 0.416666666666667 "Time1_2" "Jaccard"
"Entomology" 0.166666666666667 0.19047619047619 0.357142857142857 "Time1_2" "Jaccard"
"Environmental Studies" 0.138888888888889 0.333333333333333 0.472222222222222 "Time1_2" "Jaccard"
"Ethics" 0.222222222222222 0.444444444444444 0.666666666666667 "Time1_2" "Jaccard"
"Evolutionary Biology" 0.0625 0.0833333333333333 0.145833333333333 "Time1_2" "Jaccard"
"Fisheries" 0.116279069767442 0.348837209302326 0.465116279069767 "Time1_2" "Jaccard"
"Food Science & Technology" 0.217391304347826 0.478260869565217 0.695652173913043 "Time1_2" "Jaccard"
"Forestry" 0.0465116279069767 0.255813953488372 0.302325581395349 "Time1_2" "Jaccard"
"Gastroenterology & Hepatology" 0.15 0.65 0.8 "Time1_2" "Jaccard"
"General & Internal Medicine" 0.166666666666667 0.75 0.916666666666667 "Time1_2" "Jaccard"
"Genetics & Heredity" 0.0833333333333333 0.0625 0.145833333333333 "Time1_2" "Jaccard"
"Geography" 0.111111111111111 0.311111111111111 0.422222222222222 "Time1_2" "Jaccard"
"Geology" 0.131578947368421 0.210526315789474 0.342105263157895 "Time1_2" "Jaccard"
"Geosciences, Multidisciplinary" 0.108108108108108 0.324324324324324 0.432432432432432 "Time1_2" "Jaccard"
"Geriatrics & Gerontology" 0.5 0.5 1 "Time1_2" "Jaccard"
"Government & Law" 0.2 0.6 0.8 "Time1_2" "Jaccard"
"Health Care Sciences & Services" 0.333333333333333 0.333333333333333 0.666666666666667 "Time1_2" "Jaccard"
"Health Policy & Services" 0.5 0.5 1 "Time1_2" "Jaccard"
"Hematology" 0.35 0.45 0.8 "Time1_2" "Jaccard"
"History" 0.222222222222222 0.555555555555556 0.777777777777778 "Time1_2" "Jaccard"
"Horticulture" 0.266666666666667 0.0888888888888889 0.355555555555556 "Time1_2" "Jaccard"
"Hospitality, Leisure, Sport & Tourism" 0.333333333333333 0.666666666666667 1 "Time1_2" "Jaccard"
"Imaging Science & Photographic Technology" 0.142857142857143 0.571428571428571 0.714285714285714 "Time1_2" "Jaccard"
"Immunology" 0.127659574468085 0.106382978723404 0.234042553191489 "Time1_2" "Jaccard"
"Infectious Diseases" 0.108108108108108 0.243243243243243 0.351351351351351 "Time1_2" "Jaccard"
"Information Science & Library Science" 0.25 0.75 1 "Time1_2" "Jaccard"
"Integrative & Complementary Medicine" 0.153846153846154 0.769230769230769 0.923076923076923 "Time1_2" "Jaccard"
"Law" 0.25 0.5 0.75 "Time1_2" "Jaccard"
"Life Sciences & Biomedicine - Other Topics" 0.152173913043478 0.173913043478261 0.326086956521739 "Time1_2" "Jaccard"
"Limnology" 0.0857142857142857 0.314285714285714 0.4 "Time1_2" "Jaccard"
"Management" 0.25 0.75 1 "Time1_2" "Jaccard"
"Marine & Freshwater Biology" 0.104166666666667 0.208333333333333 0.3125 "Time1_2" "Jaccard"
"Materials Science" 0.181818181818182 0.818181818181818 1 "Time1_2" "Jaccard"
"Mathematical & Computational Biology" 0.333333333333333 0.375 0.708333333333333 "Time1_2" "Jaccard"
"Mathematics" 0.15 0.65 0.8 "Time1_2" "Jaccard"
"Mechanics" 0.25 0.75 1 "Time1_2" "Jaccard"
"Medical Subscience" 0.3125 0.625 0.9375 "Time1_2" "Jaccard"
"Medicine, General & Internal" 0.166666666666667 0.75 0.916666666666667 "Time1_2" "Jaccard"
"Medicine, Research & Experimental" 0.333333333333333 0.333333333333333 0.666666666666667 "Time1_2" "Jaccard"
"Meteorology & Atmospheric Sciences" 0.285714285714286 0.321428571428571 0.607142857142857 "Time1_2" "Jaccard"
"Microbiology" 0.0416666666666667 0.125 0.166666666666667 "Time1_2" "Jaccard"
"Microscopy" 0.411764705882353 0.470588235294118 0.882352941176471 "Time1_2" "Jaccard"
"Mining & Mineral Processing" 0.166666666666667 0.833333333333333 1 "Time1_2" "Jaccard"
"Multidisciplinary Sciences" 0.133333333333333 0.2 0.333333333333333 "Time1_2" "Jaccard"
"Mycology" 0.0833333333333333 0.472222222222222 0.555555555555556 "Time1_2" "Jaccard"
"Neurosciences" 0.294117647058824 0.117647058823529 0.411764705882353 "Time1_2" "Jaccard"
"Nutrition & Dietetics" 0.142857142857143 0.714285714285714 0.857142857142857 "Time1_2" "Jaccard"
"Obstetrics & Gynecology" 0.5 0.5 1 "Time1_2" "Jaccard"
"Oceanography" 0.102564102564103 0.230769230769231 0.333333333333333 "Time1_2" "Jaccard"
"Oncology" 0.129032258064516 0.419354838709677 0.548387096774194 "Time1_2" "Jaccard"
"Operations Research & Management Science" 0.2 0.6 0.8 "Time1_2" "Jaccard"
"Ornithology" 0.178571428571429 0.357142857142857 0.535714285714286 "Time1_2" "Jaccard"
"Paleontology" 0.108108108108108 0.189189189189189 0.297297297297297 "Time1_2" "Jaccard"
"Parasitology" 0.159090909090909 0.318181818181818 0.477272727272727 "Time1_2" "Jaccard"
"Pathology" 0.193548387096774 0.451612903225806 0.645161290322581 "Time1_2" "Jaccard"
"Pediatrics" 0.25 0.5 0.75 "Time1_2" "Jaccard"
"Pharmacology & Pharmacy" 0.133333333333333 0.366666666666667 0.5 "Time1_2" "Jaccard"
"Physical Geography" 0.13953488372093 0.302325581395349 0.441860465116279 "Time1_2" "Jaccard"
"Physics" 0.1 0.8 0.9 "Time1_2" "Jaccard"
"Physiology" 0.297297297297297 0.297297297297297 0.594594594594595 "Time1_2" "Jaccard"
"Planning & Development" 0.272727272727273 0.727272727272727 1 "Time1_2" "Jaccard"
"Plant Sciences" 0.0816326530612245 0.0816326530612245 0.163265306122449 "Time1_2" "Jaccard"
"Polymer Science" 0.5 0.5 1 "Time1_2" "Jaccard"
"Psychiatry" 0.666666666666667 0.333333333333333 1 "Time1_2" "Jaccard"
"Psychology" 0.333333333333333 0.5 0.833333333333333 "Time1_2" "Jaccard"
"Public Administration" 0.272727272727273 0.727272727272727 1 "Time1_2" "Jaccard"
"Public, Environmental & Occupational Health" 0.216216216216216 0.297297297297297 0.513513513513513 "Time1_2" "Jaccard"
"Radiology, Nuclear Medicine & Medical Imaging" 0.4 0.4 0.8 "Time1_2" "Jaccard"
"Remote Sensing" 0.1 0.7 0.8 "Time1_2" "Jaccard"
"Reproductive Biology" 0.434782608695652 0.391304347826087 0.826086956521739 "Time1_2" "Jaccard"
"Research & Experimental Medicine" 0.333333333333333 0.333333333333333 0.666666666666667 "Time1_2" "Jaccard"
"Respiratory System" 0.4 0.6 1 "Time1_2" "Jaccard"
"Science & Technology - Other Topics" 0.133333333333333 0.2 0.333333333333333 "Time1_2" "Jaccard"
"Social Sciences" 0.352941176470588 0.352941176470588 0.705882352941177 "Time1_2" "Jaccard"
"Sociology" 0.4375 0.375 0.8125 "Time1_2" "Jaccard"
"Soil Science" 0.176470588235294 0.205882352941176 0.382352941176471 "Time1_2" "Jaccard"
"Statistics & Probability" 0.0666666666666667 0.733333333333333 0.8 "Time1_2" "Jaccard"
"Surgery" 0.25 0.75 1 "Time1_2" "Jaccard"
"Toxicology" 0.176470588235294 0.441176470588235 0.617647058823529 "Time1_2" "Jaccard"
"Transplantation" 0.6 0.2 0.8 "Time1_2" "Jaccard"
"Tropical Medicine" 0.257142857142857 0.4 0.657142857142857 "Time1_2" "Jaccard"
"Urban Studies" 0.206896551724138 0.482758620689655 0.689655172413793 "Time1_2" "Jaccard"
"Urology & Nephrology" 0.166666666666667 0.666666666666667 0.833333333333333 "Time1_2" "Jaccard"
"Veterinary Sciences" 0.147058823529412 0.352941176470588 0.5 "Time1_2" "Jaccard"
"Virology" 0.146341463414634 0.24390243902439 0.390243902439024 "Time1_2" "Jaccard"
"Water Resources" 0.171428571428571 0.342857142857143 0.514285714285714 "Time1_2" "Jaccard"
"Zoology" 0.130434782608696 0.0869565217391304 0.217391304347826 "Time1_2" "Jaccard"
"Agriculture" 0.0666666666666667 0.0888888888888889 0.155555555555556 "Time2_3" "Jaccard"
"Agronomy" 0.0930232558139535 0.0697674418604651 0.162790697674419 "Time2_3" "Jaccard"
"Allergy" 0.333333333333333 0.555555555555556 0.888888888888889 "Time2_3" "Jaccard"
"Anatomy & Morphology" 0.260869565217391 0.217391304347826 0.478260869565217 "Time2_3" "Jaccard"
"Anthropology" 0.243243243243243 0.162162162162162 0.405405405405405 "Time2_3" "Jaccard"
"Archaeology" 0.176470588235294 0.588235294117647 0.764705882352941 "Time2_3" "Jaccard"
"Area Studies" 0.5 0.5 1 "Time2_3" "Jaccard"
"Astronomy & Astrophysics" 0.307692307692308 0.538461538461538 0.846153846153846 "Time2_3" "Jaccard"
"Automation & Control Systems" 0.3125 0.4375 0.75 "Time2_3" "Jaccard"
"Behavioral Sciences" 0.0769230769230769 0.307692307692308 0.384615384615385 "Time2_3" "Jaccard"
"Biochemical Research Methods" 0.111111111111111 0.25 0.361111111111111 "Time2_3" "Jaccard"
"Biochemistry & Molecular Biology" 0.0833333333333333 0.0416666666666667 0.125 "Time2_3" "Jaccard"
"Biodiversity Conservation" 0.0869565217391304 0.0869565217391304 0.173913043478261 "Time2_3" "Jaccard"
"Biology" 0.159090909090909 0.113636363636364 0.272727272727273 "Time2_3" "Jaccard"
"Biomedical Social Sciences" 0.181818181818182 0.818181818181818 1 "Time2_3" "Jaccard"
"Biophysics" 0.342857142857143 0.0571428571428571 0.4 "Time2_3" "Jaccard"
"Biotechnology & Applied Microbiology" 0.12 0.06 0.18 "Time2_3" "Jaccard"
"Business" 0.333333333333333 0.25 0.583333333333333 "Time2_3" "Jaccard"
"Cardiology" 0.416666666666667 0.333333333333333 0.75 "Time2_3" "Jaccard"
"Cell Biology" 0.162162162162162 0.108108108108108 0.27027027027027 "Time2_3" "Jaccard"
"Cell & Tissue Engineering" 0 0.75 0.75 "Time2_3" "Jaccard"
"Chemistry" 0.102564102564103 0.153846153846154 0.256410256410256 "Time2_3" "Jaccard"
"Clinical Neurology" 0.272727272727273 0.636363636363636 0.909090909090909 "Time2_3" "Jaccard"
"Communication" 0.5 0.5 1 "Time2_3" "Jaccard"
"Computer Science" 0.0967741935483871 0.225806451612903 0.32258064516129 "Time2_3" "Jaccard"
"Crystallography" 0.272727272727273 0.727272727272727 1 "Time2_3" "Jaccard"
"Demography" 0.2 0.6 0.8 "Time2_3" "Jaccard"
"Dentistry, Oral Surgery & Medicine" 0.333333333333333 0.333333333333333 0.666666666666667 "Time2_3" "Jaccard"
"Dermatology" 0.444444444444444 0.444444444444444 0.888888888888889 "Time2_3" "Jaccard"
"Developmental Biology" 0.153846153846154 0.230769230769231 0.384615384615385 "Time2_3" "Jaccard"
"Ecology" 0.0612244897959184 0.0408163265306122 0.102040816326531 "Time2_3" "Jaccard"
"Economics" 0.333333333333333 0.291666666666667 0.625 "Time2_3" "Jaccard"
"Education" 0.333333333333333 0.555555555555556 0.888888888888889 "Time2_3" "Jaccard"
"Electrochemistry" 0.666666666666667 0.333333333333333 1 "Time2_3" "Jaccard"
"Endocrinology & Metabolism" 0.333333333333333 0.458333333333333 0.791666666666667 "Time2_3" "Jaccard"
"Energy & Fuels" 0.5 0.166666666666667 0.666666666666667 "Time2_3" "Jaccard"
"Engineering" 0.179487179487179 0.256410256410256 0.435897435897436 "Time2_3" "Jaccard"
"Entomology" 0.075 0.125 0.2 "Time2_3" "Jaccard"
"Environmental Studies" 0.108108108108108 0.162162162162162 0.27027027027027 "Time2_3" "Jaccard"
"Ethics" 0.333333333333333 0.416666666666667 0.75 "Time2_3" "Jaccard"
"Evolutionary Biology" 0.125 0.0625 0.1875 "Time2_3" "Jaccard"
"Fisheries" 0.136363636363636 0.136363636363636 0.272727272727273 "Time2_3" "Jaccard"
"Food Science & Technology" 0.121212121212121 0.454545454545455 0.575757575757576 "Time2_3" "Jaccard"
"Forestry" 0.136363636363636 0.0681818181818182 0.204545454545455 "Time2_3" "Jaccard"
"Gastroenterology & Hepatology" 0.19047619047619 0.19047619047619 0.380952380952381 "Time2_3" "Jaccard"
"General & Internal Medicine" 0.583333333333333 0.166666666666667 0.75 "Time2_3" "Jaccard"
"Genetics & Heredity" 0.0612244897959184 0.102040816326531 0.163265306122449 "Time2_3" "Jaccard"
"Geochemistry & Geophysics" 0.166666666666667 0.666666666666667 0.833333333333333 "Time2_3" "Jaccard"
"Geography" 0.13953488372093 0.0697674418604651 0.209302325581395 "Time2_3" "Jaccard"
"Geology" 0.0975609756097561 0.195121951219512 0.292682926829268 "Time2_3" "Jaccard"
"Geosciences, Multidisciplinary" 0.1 0.175 0.275 "Time2_3" "Jaccard"
"Geriatrics & Gerontology" 0 0.833333333333333 0.833333333333333 "Time2_3" "Jaccard"
"Government & Law" 0 0.428571428571429 0.428571428571429 "Time2_3" "Jaccard"
"Health Care Sciences & Services" 0.666666666666667 0.333333333333333 1 "Time2_3" "Jaccard"
"Hematology" 0.45 0.35 0.8 "Time2_3" "Jaccard"
"History" 0.214285714285714 0.5 0.714285714285714 "Time2_3" "Jaccard"
"Horticulture" 0.0975609756097561 0.195121951219512 0.292682926829268 "Time2_3" "Jaccard"
"Hospitality, Leisure, Sport & Tourism" 0.666666666666667 0.333333333333333 1 "Time2_3" "Jaccard"
"Imaging Science & Photographic Technology" 0.105263157894737 0.368421052631579 0.473684210526316 "Time2_3" "Jaccard"
"Immunology" 0.159090909090909 0.0681818181818182 0.227272727272727 "Time2_3" "Jaccard"
"Infectious Diseases" 0.19047619047619 0.214285714285714 0.404761904761905 "Time2_3" "Jaccard"
"Information Science & Library Science" 0.111111111111111 0.666666666666667 0.777777777777778 "Time2_3" "Jaccard"
"Instruments & Instrumentation" 0.166666666666667 0.5 0.666666666666667 "Time2_3" "Jaccard"
"Integrative & Complementary Medicine" 0.6 0.266666666666667 0.866666666666667 "Time2_3" "Jaccard"
"International Relations" 0.375 0.375 0.75 "Time2_3" "Jaccard"
"Language & Linguistics" 0.5 0.5 1 "Time2_3" "Jaccard"
"Law" 0 0.571428571428571 0.571428571428571 "Time2_3" "Jaccard"
"Legal Medicine" 0.222222222222222 0.666666666666667 0.888888888888889 "Time2_3" "Jaccard"
"Life Sciences & Biomedicine - Other Topics" 0.159090909090909 0.113636363636364 0.272727272727273 "Time2_3" "Jaccard"
"Limnology" 0.111111111111111 0.111111111111111 0.222222222222222 "Time2_3" "Jaccard"
"Linguistics" 0.333333333333333 0.666666666666667 1 "Time2_3" "Jaccard"
"Management" 0.428571428571429 0.571428571428571 1 "Time2_3" "Jaccard"
"Marine & Freshwater Biology" 0.0851063829787234 0.0851063829787234 0.170212765957447 "Time2_3" "Jaccard"
"Materials Science" 0.238095238095238 0.571428571428571 0.80952380952381 "Time2_3" "Jaccard"
"Mathematical & Computational Biology" 0.115384615384615 0.384615384615385 0.5 "Time2_3" "Jaccard"
"Mathematical Methods In Social Sciences" 0 0.833333333333333 0.833333333333333 "Time2_3" "Jaccard"
"Mathematics" 0.148148148148148 0.37037037037037 0.518518518518518 "Time2_3" "Jaccard"
"Mechanics" 0.5 0.5 1 "Time2_3" "Jaccard"
"Medical Subscience" 0.571428571428571 0.214285714285714 0.785714285714286 "Time2_3" "Jaccard"
"Medicine, General & Internal" 0.583333333333333 0.166666666666667 0.75 "Time2_3" "Jaccard"
"Medicine, Legal" 0.222222222222222 0.666666666666667 0.888888888888889 "Time2_3" "Jaccard"
"Medicine, Research & Experimental" 0.166666666666667 0.25 0.416666666666667 "Time2_3" "Jaccard"
"Metallurgy & Metallurgical Engineering" 0.5 0 0.5 "Time2_3" "Jaccard"
"Meteorology & Atmospheric Sciences" 0.266666666666667 0.333333333333333 0.6 "Time2_3" "Jaccard"
"Microbiology" 0.0408163265306122 0.0612244897959184 0.102040816326531 "Time2_3" "Jaccard"
"Microscopy" 0.6 0.333333333333333 0.933333333333333 "Time2_3" "Jaccard"
"Mineralogy" 0.5 0.5 1 "Time2_3" "Jaccard"
"Mining & Mineral Processing" 0.3 0.5 0.8 "Time2_3" "Jaccard"
"Multidisciplinary Sciences" 0.159090909090909 0.113636363636364 0.272727272727273 "Time2_3" "Jaccard"
"Mycology" 0.162162162162162 0.108108108108108 0.27027027027027 "Time2_3" "Jaccard"
"Nanoscience & Nanotechnology" 0.222222222222222 0.666666666666667 0.888888888888889 "Time2_3" "Jaccard"
"Neurosciences" 0.2 0.2 0.4 "Time2_3" "Jaccard"
"Nuclear Science & Technology" 0.4 0.2 0.6 "Time2_3" "Jaccard"
"Nutrition & Dietetics" 0.153846153846154 0.538461538461538 0.692307692307692 "Time2_3" "Jaccard"
"Obstetrics & Gynecology" 0.2 0.6 0.8 "Time2_3" "Jaccard"
"Oceanography" 0.0227272727272727 0.204545454545455 0.227272727272727 "Time2_3" "Jaccard"
"Oncology" 0.34375 0.15625 0.5 "Time2_3" "Jaccard"
"Operations Research & Management Science" 0.0666666666666667 0.733333333333333 0.8 "Time2_3" "Jaccard"
"Ophthalmology" 0 0.5 0.5 "Time2_3" "Jaccard"
"Optics" 0.285714285714286 0.571428571428571 0.857142857142857 "Time2_3" "Jaccard"
"Ornithology" 0.129032258064516 0.258064516129032 0.387096774193548 "Time2_3" "Jaccard"
"Paleontology" 0.15 0.175 0.325 "Time2_3" "Jaccard"
"Parasitology" 0.175 0.075 0.25 "Time2_3" "Jaccard"
"Pathology" 0.275862068965517 0.137931034482759 0.413793103448276 "Time2_3" "Jaccard"
"Pediatrics" 0.222222222222222 0.666666666666667 0.888888888888889 "Time2_3" "Jaccard"
"Peripheral Vascular Disease" 0.5 0.5 1 "Time2_3" "Jaccard"
"Pharmacology & Pharmacy" 0.114285714285714 0.257142857142857 0.371428571428571 "Time2_3" "Jaccard"
"Physical Geography" 0.075 0.075 0.15 "Time2_3" "Jaccard"
"Physics" 0.111111111111111 0.5 0.611111111111111 "Time2_3" "Jaccard"
"Physiology" 0.28125 0.1875 0.46875 "Time2_3" "Jaccard"
"Planning & Development" 0.133333333333333 0.466666666666667 0.6 "Time2_3" "Jaccard"
"Plant Sciences" 0.0408163265306122 0.0816326530612245 0.122448979591837 "Time2_3" "Jaccard"
"Political Science" 0 0 0 "Time2_3" "Jaccard"
"Polymer Science" 0.333333333333333 0.666666666666667 1 "Time2_3" "Jaccard"
"Psychiatry" 0.166666666666667 0.833333333333333 1 "Time2_3" "Jaccard"
"Psychology" 0.266666666666667 0.466666666666667 0.733333333333333 "Time2_3" "Jaccard"
"Public Administration" 0.125 0.5 0.625 "Time2_3" "Jaccard"
"Public, Environmental & Occupational Health" 0.257142857142857 0.171428571428571 0.428571428571429 "Time2_3" "Jaccard"
"Radiology, Nuclear Medicine & Medical Imaging" 0.166666666666667 0.5 0.666666666666667 "Time2_3" "Jaccard"
"Remote Sensing" 0.2 0.28 0.48 "Time2_3" "Jaccard"
"Reproductive Biology" 0.3 0.35 0.65 "Time2_3" "Jaccard"
"Research & Experimental Medicine" 0.166666666666667 0.25 0.416666666666667 "Time2_3" "Jaccard"
"Respiratory System" 0.222222222222222 0.666666666666667 0.888888888888889 "Time2_3" "Jaccard"
"Robotics" 0.222222222222222 0.777777777777778 1 "Time2_3" "Jaccard"
"Science & Technology - Other Topics" 0.159090909090909 0.113636363636364 0.272727272727273 "Time2_3" "Jaccard"
"Social Sciences" 0.2 0.45 0.65 "Time2_3" "Jaccard"
"Sociology" 0.133333333333333 0.4 0.533333333333333 "Time2_3" "Jaccard"
"Soil Science" 0.147058823529412 0.176470588235294 0.323529411764706 "Time2_3" "Jaccard"
"Spectroscopy" 0.375 0.5 0.875 "Time2_3" "Jaccard"
"Statistics & Probability" 0.2 0.3 0.5 "Time2_3" "Jaccard"
"Substance Abuse" 0.25 0.75 1 "Time2_3" "Jaccard"
"Surgery" 0.307692307692308 0.538461538461538 0.846153846153846 "Time2_3" "Jaccard"
"Telecommunications" 0.125 0.875 1 "Time2_3" "Jaccard"
"Thermodynamics" 0.4 0.4 0.8 "Time2_3" "Jaccard"
"Toxicology" 0.135135135135135 0.243243243243243 0.378378378378378 "Time2_3" "Jaccard"
"Transplantation" 0 0.8 0.8 "Time2_3" "Jaccard"
"Transportation" 0.333333333333333 0.666666666666667 1 "Time2_3" "Jaccard"
"Tropical Medicine" 0.205882352941176 0.235294117647059 0.441176470588235 "Time2_3" "Jaccard"
"Urban Studies" 0.333333333333333 0.233333333333333 0.566666666666667 "Time2_3" "Jaccard"
"Urology & Nephrology" 0.666666666666667 0.166666666666667 0.833333333333333 "Time2_3" "Jaccard"
"Veterinary Sciences" 0.2 0.171428571428571 0.371428571428571 "Time2_3" "Jaccard"
"Virology" 0.184210526315789 0.0789473684210526 0.263157894736842 "Time2_3" "Jaccard"
"Water Resources" 0.146341463414634 0.292682926829268 0.439024390243902 "Time2_3" "Jaccard"
"Zoology" 0.0888888888888889 0.111111111111111 0.2 "Time2_3" "Jaccard"
"Agriculture" 0.177777777777778 0.0666666666666667 0.244444444444444 "Time3_4" "Jaccard"
"Agronomy" 0.186046511627907 0.0930232558139535 0.27906976744186 "Time3_4" "Jaccard"
"Allergy" 0.133333333333333 0.6 0.733333333333333 "Time3_4" "Jaccard"
"Anatomy & Morphology" 0.304347826086957 0.260869565217391 0.565217391304348 "Time3_4" "Jaccard"
"Anthropology" 0.290322580645161 0.0967741935483871 0.387096774193548 "Time3_4" "Jaccard"
"Archaeology" 0.4 0.3 0.7 "Time3_4" "Jaccard"
"Architecture" 0 0.666666666666667 0.666666666666667 "Time3_4" "Jaccard"
"Area Studies" 0.5 0.5 1 "Time3_4" "Jaccard"
"Astronomy & Astrophysics" 0.636363636363636 0.181818181818182 0.818181818181818 "Time3_4" "Jaccard"
"Automation & Control Systems" 0.142857142857143 0.476190476190476 0.619047619047619 "Time3_4" "Jaccard"
"Behavioral Sciences" 0.172413793103448 0.172413793103448 0.344827586206897 "Time3_4" "Jaccard"
"Biochemical Research Methods" 0.257142857142857 0.0857142857142857 0.342857142857143 "Time3_4" "Jaccard"
"Biochemistry & Molecular Biology" 0.0652173913043478 0.0434782608695652 0.108695652173913 "Time3_4" "Jaccard"
"Biodiversity Conservation" 0.13953488372093 0.0232558139534884 0.162790697674419 "Time3_4" "Jaccard"
"Biology" 0.146341463414634 0.0975609756097561 0.24390243902439 "Time3_4" "Jaccard"
"Biomedical Social Sciences" 0.5 0.1 0.6 "Time3_4" "Jaccard"
"Biophysics" 0.344827586206897 0.206896551724138 0.551724137931034 "Time3_4" "Jaccard"
"Biotechnology & Applied Microbiology" 0.155555555555556 0.0222222222222222 0.177777777777778 "Time3_4" "Jaccard"
"Business" 0.25 0.428571428571429 0.678571428571429 "Time3_4" "Jaccard"
"Cardiology" 0.666666666666667 0.222222222222222 0.888888888888889 "Time3_4" "Jaccard"
"Cell Biology" 0.181818181818182 0.0606060606060606 0.242424242424242 "Time3_4" "Jaccard"
"Cell & Tissue Engineering" 0.5 0.333333333333333 0.833333333333333 "Time3_4" "Jaccard"
"Chemistry" 0.175 0.125 0.3 "Time3_4" "Jaccard"
"Clinical Neurology" 0.777777777777778 0.111111111111111 0.888888888888889 "Time3_4" "Jaccard"
"Communication" 0.25 0.75 1 "Time3_4" "Jaccard"
"Computer Science" 0.15625 0.125 0.28125 "Time3_4" "Jaccard"
"Construction & Building Technology" 0.5 0.5 1 "Time3_4" "Jaccard"
"Crystallography" 0.375 0.5 0.875 "Time3_4" "Jaccard"
"Cultural Studies" 0 0.5 0.5 "Time3_4" "Jaccard"
"Demography" 0.6 0.2 0.8 "Time3_4" "Jaccard"
"Dentistry, Oral Surgery & Medicine" 0.272727272727273 0.272727272727273 0.545454545454545 "Time3_4" "Jaccard"
"Dermatology" 0.5 0.166666666666667 0.666666666666667 "Time3_4" "Jaccard"
"Developmental Biology" 0.192307692307692 0.153846153846154 0.346153846153846 "Time3_4" "Jaccard"
"Ecology" 0.0638297872340425 0.0212765957446809 0.0851063829787234 "Time3_4" "Jaccard"
"Economics" 0.333333333333333 0.333333333333333 0.666666666666667 "Time3_4" "Jaccard"
"Education" 0.375 0.25 0.625 "Time3_4" "Jaccard"
"Electrochemistry" 0 0.857142857142857 0.857142857142857 "Time3_4" "Jaccard"
"Endocrinology & Metabolism" 0.388888888888889 0.111111111111111 0.5 "Time3_4" "Jaccard"
"Energy & Fuels" 0.0625 0.4375 0.5 "Time3_4" "Jaccard"
"Engineering" 0.138888888888889 0.111111111111111 0.25 "Time3_4" "Jaccard"
"Entomology" 0.175 0.075 0.25 "Time3_4" "Jaccard"
"Environmental Studies" 0.297297297297297 0.108108108108108 0.405405405405405 "Time3_4" "Jaccard"
"Ethics" 0.555555555555556 0.111111111111111 0.666666666666667 "Time3_4" "Jaccard"
"Ethnic Studies" 0.5 0.5 1 "Time3_4" "Jaccard"
"Evolutionary Biology" 0.111111111111111 0.0666666666666667 0.177777777777778 "Time3_4" "Jaccard"
